"","Slide","Click1","Click2","Click3"
"1","fruit.bmp","1","2","3"
"2","intro.bmp","4","5","6"
"3","0.bmp","7","8","9"
"4","1.bmp","4","5","6"
"5","2.bmp","6","7","8"
"6","3.bmp","4","5","6"
"7","4.bmp","7","8","9"
"8","5.bmp","1","2","3"
"9","6.bmp","1","2","3"
"10","7.bmp","1","2","3"
"11","8.bmp","2","4","6"
"12","9.bmp","6","7","8"
"13","10.bmp","5","7","8"
"14","11.bmp","3","8","9"
