"","Slide","Click1","Click2","Click3"
"1","fruit.bmp","1","2","3"
"2","intro.bmp","7","8","9"
"3","0.bmp","4","5","6"
"4","1.bmp","1","3","5"
"5","2.bmp","6","7","8"
"6","3.bmp","1","8","9"
"7","4.bmp","2","7","8"
"8","5.bmp","3","6","7"
"9","6.bmp","1","3","8"
"10","7.bmp","1","3","9"
"11","8.bmp","4","5","6"
"12","9.bmp","6","7","8"
"13","10.bmp","6","7","8"
"14","11.bmp","5","6","7"
