"","Slide","Click1","Click2","Click3"
"1","fruit.bmp","5","7","8"
"2","intro.bmp","1","2","3"
"3","0.bmp","1","4","7"
"4","1.bmp","2","5","8"
"5","2.bmp","3","6","9"
"6","3.bmp","3","6","9"
"7","4.bmp","1","4","7"
"8","5.bmp","2","5","8"
"9","6.bmp","6","8","9"
"10","7.bmp","1","3","9"
"11","8.bmp","3","6","9"
"12","9.bmp","6","8","9"
"13","10.bmp","3","7","8"
"14","11.bmp","1","3","4"
