"","Slide","Click1","Click2","Click3"
"1","fruit.bmp","2","6","9"
"2","intro.bmp","7","8","9"
"3","0.bmp","7","8","9"
"4","1.bmp","2","5","8"
"5","2.bmp","3","6","9"
"6","3.bmp","3","6","9"
"7","4.bmp","3","6","9"
"8","5.bmp","3","6","9"
"9","6.bmp","1","4","7"
"10","7.bmp","3","4","6"
"11","8.bmp","3","6","9"
"12","9.bmp","2","5","8"
"13","10.bmp","2","3","5"
"14","11.bmp","2","5","7"
