"","Slide","Click1","Click2","Click3"
"1","fruit.bmp","1","2","3"
"2","intro.bmp","7","8","9"
"3","0.bmp","7","8","9"
"4","1.bmp","3","4","6"
"5","2.bmp","4","7","9"
"6","3.bmp","4","8","9"
"7","4.bmp","2","5","7"
"8","5.bmp","1","3","7"
"9","6.bmp","1","4","7"
"10","7.bmp","1","3","7"
"11","8.bmp","2","3","6"
"12","9.bmp","2","5","8"
"13","10.bmp","5","6","7"
"14","11.bmp","5","6","9"
