"","Slide","Click1","Click2","Click3"
"1","fruit.bmp","1","2","3"
"2","intro.bmp","1","2","3"
"3","0.bmp","2","4","6"
"4","1.bmp","1","4","7"
"5","2.bmp","2","4","7"
"6","3.bmp","2","8","9"
"7","4.bmp","2","3","9"
"8","5.bmp","1","4","7"
"9","6.bmp","1","4","7"
"10","7.bmp","1","3","6"
"11","8.bmp","3","6","9"
"12","9.bmp","1","3","6"
"13","10.bmp","1","2","7"
