"","slide","initalAOI","fixationTime","correctedAOI"
"1","fruit.bmp",5,0.18221,5
"2","fruit.bmp",0,0.26279,0
"3","fruit.bmp",8,0.67342,8
"4","fruit.bmp",8,0.45985,8
"5","fruit.bmp",1,0.52512,1
"6","fruit.bmp",0,0.21326,0
"7","fruit.bmp",4,0.62438,4
"8","fruit.bmp",9,0.64111,9
"9","fruit.bmp",7,0.6244,7
"10","fruit.bmp",0,0.28024,0
"11","intro.bmp",6,0.34433,6
"12","intro.bmp",5,0.29569,5
"13","intro.bmp",5,0.42767,5
"14","intro.bmp",0,0.23022,0
"15","intro.bmp",0,0.26275,0
"16","intro.bmp",5,0.24667,5
"17","intro.bmp",9,0.24654,9
"18","intro.bmp",0,0.21323,0
"19","intro.bmp",4,0.1973,4
"20","intro.bmp",5,0.26277,5
"21","intro.bmp",9,0.24414,9
"22","intro.bmp",7,0.09866,7
"23","intro.bmp",7,0.19595,7
"24","intro.bmp",4,0.19671,4
"25","intro.bmp",4,0.30819,4
"26","intro.bmp",4,0.24611,4
"27","intro.bmp",8,0.19923,8
"28","intro.bmp",9,0.23028,9
"29","intro.bmp",0,0.21337,0
"30","intro.bmp",4,1.80421,4
"31","intro.bmp",1,0.32851,1
"32","intro.bmp",2,0.32845,2
"33","intro.bmp",2,0.27878,2
"34","intro.bmp",5,0.23036,5
"35","intro.bmp",9,0.27935,9
"36","intro.bmp",8,0.23101,8
"37","intro.bmp",9,0.26238,9
"38","intro.bmp",6,0.21307,6
"39","intro.bmp",5,0.2138,5
"40","intro.bmp",6,0.29585,6
"41","intro.bmp",0,0.21312,0
"42","intro.bmp",8,0.24671,8
"43","intro.bmp",7,0.22967,7
"44","intro.bmp",4,0.26266,4
"45","intro.bmp",9,0.24355,9
"46","intro.bmp",9,0.21196,9
"47","intro.bmp",5,0.21503,5
"48","intro.bmp",6,0.34497,6
"49","intro.bmp",0,0.59161,0
"50","intro.bmp",0,0.22962,0
"51","intro.bmp",4,0.22907,4
"52","0.bmp",0,0.65737,0
"53","0.bmp",8,0.27852,8
"54","0.bmp",9,0.26297,9
"55","0.bmp",6,0.19721,6
"56","0.bmp",5,0.21313,5
