"","slide","initalAOI","fixationTime","correctedAOI"
"150","1.bmp",0,0.1968,0
"151","1.bmp",9,0.55849,9
"152","1.bmp",9,0.15071,9
"153","1.bmp",9,0.62987,9
"154","1.bmp",4,0.24638,4
"155","1.bmp",1,0.32993,7
"156","1.bmp",1,0.52563,7
"157","1.bmp",4,0.20923,4
"158","1.bmp",4,0.26289,4
"159","1.bmp",9,0.19732,9
"160","1.bmp",2,0.26285,6
"161","1.bmp",1,0.24841,7
"162","1.bmp",0,0.21398,0
"163","1.bmp",9,0.14784,9
"164","1.bmp",9,0.23035,9
"165","1.bmp",1,0.21365,7
"166","1.bmp",1,0.45813,7
"167","1.bmp",2,0.22984,6
"168","1.bmp",3,0.21797,3
"169","1.bmp",8,0.21526,2
"170","1.bmp",5,0.22974,8
"171","1.bmp",8,0.27912,2
"172","1.bmp",9,0.26163,9
"173","1.bmp",7,0.19711,1
"174","1.bmp",4,0.21359,4
"175","1.bmp",1,0.21349,7
"176","1.bmp",4,0.29539,4
"177","1.bmp",4,0.44366,4
"178","1.bmp",3,0.18043,3
"179","1.bmp",2,0.21394,6
"180","1.bmp",5,0.345,8
"181","1.bmp",6,0.24637,5
"182","1.bmp",5,0.23041,8
"183","1.bmp",8,0.21355,2
"184","1.bmp",6,0.3287,5
"185","1.bmp",5,0.36134,8
"186","1.bmp",8,0.492,2
"187","1.bmp",5,0.36133,8
"188","1.bmp",6,0.31064,5
"189","2.bmp",3,0.30226,6
"190","2.bmp",5,0.2442,9
"191","2.bmp",6,0.31236,5
"192","2.bmp",6,0.18074,5
"193","2.bmp",8,0.1969,8
"194","2.bmp",9,0.39523,4
"195","2.bmp",0,0.24498,0
"196","2.bmp",6,0.39497,5
"197","2.bmp",2,0.27882,3
"198","2.bmp",1,0.3125,2
"199","2.bmp",0,0.19708,0
"200","2.bmp",5,0.19659,9
"201","2.bmp",1,0.21405,2
"202","2.bmp",6,0.21252,5
"203","2.bmp",3,0.21193,6
"204","2.bmp",5,0.23039,9
"205","2.bmp",4,0.36276,7
"206","2.bmp",7,0.21808,1
"207","2.bmp",8,0.21376,8
"208","2.bmp",6,0.19783,5
"209","2.bmp",9,0.21352,4
"210","2.bmp",7,0.22971,1
"211","2.bmp",4,0.29605,7
"212","2.bmp",9,0.27921,4
"213","2.bmp",1,0.3136,2
"214","2.bmp",4,0.3264,7
"215","2.bmp",7,0.2141,1
"216","2.bmp",1,0.37775,2
"217","2.bmp",2,0.37808,3
"218","2.bmp",6,0.27937,5
"219","2.bmp",0,0.18053,0
"220","2.bmp",4,0.23036,7
"221","2.bmp",7,0.31168,1
"222","2.bmp",7,0.49294,1
"223","2.bmp",7,0.29982,1
"224","2.bmp",7,0.39401,1
"225","2.bmp",4,0.44395,7
"226","3.bmp",9,0.34534,9
"227","3.bmp",9,0.41039,9
"228","3.bmp",0,0.1973,0
"229","3.bmp",4,0.21342,2
"230","3.bmp",0,0.36153,0
"231","3.bmp",4,0.24915,2
"232","3.bmp",9,0.23013,9
"233","3.bmp",9,0.41241,9
"234","3.bmp",4,0.23006,2
"235","3.bmp",4,0.49333,2
"236","3.bmp",6,0.19664,5
"237","3.bmp",9,0.36314,9
"238","3.bmp",8,0.22949,1
"239","3.bmp",0,0.23074,0
"240","3.bmp",5,0.1971,6
"241","3.bmp",7,0.21339,8
"242","3.bmp",8,0.285,1
"243","3.bmp",0,0.21382,0
"244","3.bmp",1,0.22955,3
"245","3.bmp",3,0.19708,7
"246","3.bmp",6,0.19701,5
"247","3.bmp",5,0.21115,6
"248","3.bmp",9,0.23006,9
"249","3.bmp",4,0.22997,2
"250","3.bmp",4,0.21379,2
"251","3.bmp",6,0.08272,5
"252","3.bmp",8,0.21359,1
"253","3.bmp",2,0.29584,4
"254","3.bmp",3,0.24692,7
"255","3.bmp",2,0.22638,4
"256","3.bmp",8,0.23055,1
"257","3.bmp",8,0.27911,1
"258","3.bmp",2,0.21312,4
"259","4.bmp",3,0.39458,1
"260","4.bmp",3,0.65849,1
"261","4.bmp",0,0.04933,0
"262","4.bmp",3,0.54214,1
"263","4.bmp",2,0.24585,5
"264","4.bmp",2,0.39464,5
"265","4.bmp",1,0.2299,7
"266","4.bmp",0,0.04881,0
"267","4.bmp",3,0.21352,1
"268","4.bmp",6,0.21396,2
"269","4.bmp",8,0.21327,3
"270","4.bmp",5,0.27919,4
"271","4.bmp",2,0.22824,5
"272","4.bmp",1,0.21381,7
"273","4.bmp",5,0.31058,4
"274","4.bmp",5,0.27939,4
"275","4.bmp",2,0.28001,5
"276","4.bmp",2,0.05128,5
"277","4.bmp",4,0.1972,9
"278","4.bmp",7,0.21326,8
"279","4.bmp",1,0.19785,7
"280","4.bmp",2,0.82104,5
"281","4.bmp",1,0.2959,7
"282","4.bmp",1,0.29518,7
"283","4.bmp",6,0.21404,2
"284","4.bmp",4,0.23061,9
"285","4.bmp",7,0.23027,8
"286","4.bmp",8,0.26308,3
"287","4.bmp",9,0.21594,6
"288","4.bmp",6,0.23003,2
"289","4.bmp",4,0.22951,9
"290","4.bmp",7,0.26289,8
"291","4.bmp",7,0.55846,8
"292","4.bmp",6,0.19724,2
"293","4.bmp",2,0.19614,5
"294","4.bmp",3,0.26299,1
"295","4.bmp",5,0.37753,4
"296","4.bmp",8,0.29509,3
"297","4.bmp",9,0.22992,6
"298","4.bmp",8,0.36113,3
