"","slide","initalAOI","fixationTime","correctedAOI"
"1","intro.bmp",0,0.16424,0
"2","intro.bmp",1,0.26249,1
"3","intro.bmp",0,0.78881,0
"4","intro.bmp",0,0.4767,0
"5","intro.bmp",0,0.28123,0
"6","intro.bmp",5,0.19701,5
"7","intro.bmp",5,0.36179,5
"8","intro.bmp",0,0.49267,0
"9","intro.bmp",5,0.21354,5
"10","intro.bmp",5,0.29537,5
"11","intro.bmp",0,0.29574,0
"12","intro.bmp",5,0.47636,5
"13","intro.bmp",0,0.21341,0
"14","intro.bmp",8,0.2133,8
"15","intro.bmp",9,0.22836,9
"16","intro.bmp",0,0.72236,0
"17","intro.bmp",0,0.4436,0
"18","intro.bmp",0,0.26285,0
"19","intro.bmp",0,0.80506,0
"20","intro.bmp",0,0.21358,0
"21","intro.bmp",0,0.34573,0
"22","intro.bmp",5,0.42743,5
"23","intro.bmp",0,0.29111,0
"24","intro.bmp",0,0.27434,0
"25","intro.bmp",2,0.35987,2
"26","intro.bmp",1,0.27954,1
"27","intro.bmp",1,0.21467,1
"28","intro.bmp",2,0.24474,2
"29","intro.bmp",3,0.27959,3
"30","intro.bmp",1,0.28477,1
"31","intro.bmp",0,0.36159,0
"32","intro.bmp",2,0.32882,2
"33","intro.bmp",2,0.27968,2
"34","intro.bmp",6,0.31231,6
"35","intro.bmp",6,0.24634,6
"36","intro.bmp",2,0.21387,2
"37","intro.bmp",3,0.24638,3
"38","intro.bmp",9,0.2133,9
"39","intro.bmp",8,0.26254,8
"40","intro.bmp",7,0.22961,7
"41","intro.bmp",4,0.32849,4
"42","intro.bmp",6,0.57501,6
"43","intro.bmp",3,0.39468,3
"44","intro.bmp",0,0.57495,0
"45","intro.bmp",6,0.83792,6
"46","intro.bmp",4,0.77251,4
"47","0.bmp",0,1.19899,0
"48","0.bmp",8,0.39378,8
"49","0.bmp",9,0.41741,9
"50","0.bmp",7,0.36142,7
"51","0.bmp",5,0.4964,5
"52","0.bmp",6,0.2628,6
"53","0.bmp",0,0.24612,0
"54","0.bmp",2,0.31164,2
"55","0.bmp",5,0.21374,5
