"","slide","initalAOI","fixationTime","correctedAOI"
"1","fruit.bmp",5,0.45906,5
"2","fruit.bmp",6,0.24581,6
"3","fruit.bmp",0,0.21442,0
"4","fruit.bmp",8,0.21609,8
"5","fruit.bmp",4,0.2301,4
"6","fruit.bmp",4,0.47754,4
"7","fruit.bmp",1,0.36634,1
"8","fruit.bmp",1,0.37825,1
"9","fruit.bmp",3,0.20013,3
"10","fruit.bmp",4,0.2476,4
"11","fruit.bmp",5,0.54066,5
"12","fruit.bmp",4,0.26256,4
"13","fruit.bmp",1,0.29506,1
"14","fruit.bmp",6,0.39621,6
"15","fruit.bmp",6,0.42646,6
"16","fruit.bmp",7,0.52586,7
"17","fruit.bmp",7,0.4927,7
"18","fruit.bmp",0,0.55869,0
"19","fruit.bmp",0,0.32845,0
"20","fruit.bmp",9,0.19682,9
"21","fruit.bmp",3,0.29524,3
"22","fruit.bmp",5,0.27866,5
"23","fruit.bmp",0,0.23026,0
"24","fruit.bmp",8,1.74117,8
"25","fruit.bmp",0,0.27934,0
"26","fruit.bmp",0,0.21342,0
"27","fruit.bmp",2,0.2928,2
"28","fruit.bmp",0,0.31253,0
"29","fruit.bmp",0,0.06509,0
"30","fruit.bmp",0,0.26141,0
"31","fruit.bmp",0,0.22945,0
"32","fruit.bmp",0,0.49278,0
"33","fruit.bmp",2,0.42728,2
"34","fruit.bmp",5,0.41077,5
"35","intro.bmp",1,0.57486,1
"36","intro.bmp",2,0.36176,2
"37","intro.bmp",6,0.26057,6
"38","intro.bmp",6,0.24312,6
"39","intro.bmp",8,0.19738,8
"40","intro.bmp",7,0.27962,7
"41","intro.bmp",5,0.36182,5
"42","intro.bmp",9,0.27899,9
"43","intro.bmp",1,0.21307,1
"44","intro.bmp",1,0.4764,1
"45","intro.bmp",4,0.21355,4
"46","intro.bmp",7,0.27924,7
"47","intro.bmp",5,0.24541,5
"48","intro.bmp",2,0.41076,2
"49","intro.bmp",3,0.29544,3
