"","slide","initalAOI","fixationTime","correctedAOI"
"1","fruit.bmp",2,0.06558,2
"2","fruit.bmp",4,0.36146,4
"3","fruit.bmp",5,0.31202,5
"4","fruit.bmp",3,0.29574,3
"5","fruit.bmp",2,1.0354,2
"6","fruit.bmp",6,0.2132,6
"7","fruit.bmp",9,0.19675,9
"8","fruit.bmp",6,0.50986,6
"9","fruit.bmp",1,0.21353,1
"10","fruit.bmp",1,0.54114,1
"11","fruit.bmp",3,0.26291,3
"12","fruit.bmp",4,0.32848,4
"13","fruit.bmp",4,0.27891,4
"14","fruit.bmp",5,0.26276,5
"15","fruit.bmp",0,0.49384,0
"16","fruit.bmp",0,0.29795,0
"17","fruit.bmp",0,0.14774,0
"18","fruit.bmp",5,0.19437,5
"19","fruit.bmp",0,0.31213,0
"20","fruit.bmp",0,0.42133,0
"21","fruit.bmp",0,0.19694,0
"22","fruit.bmp",0,0.2495,0
"23","fruit.bmp",9,0.06564,9
"24","fruit.bmp",2,0.29565,2
"25","fruit.bmp",2,0.34571,2
"26","fruit.bmp",0,0.19686,0
"27","fruit.bmp",4,0.19672,4
"28","fruit.bmp",3,0.26323,3
"29","fruit.bmp",2,0.29591,2
"30","fruit.bmp",5,0.31236,5
"31","fruit.bmp",5,0.31224,5
"32","fruit.bmp",8,0.24669,8
"33","fruit.bmp",7,0.23281,7
"34","fruit.bmp",6,0.24652,6
"35","fruit.bmp",9,0.28029,9
"36","fruit.bmp",3,0.22997,3
"37","fruit.bmp",1,0.14785,1
"38","fruit.bmp",1,1.2817,1
"39","fruit.bmp",1,0.69005,1
"40","fruit.bmp",1,0.19681,1
"41","fruit.bmp",0,0.04976,0
"42","fruit.bmp",1,0.16362,1
"43","fruit.bmp",2,0.21392,2
"44","fruit.bmp",2,0.32844,2
"45","fruit.bmp",5,0.26249,5
"46","fruit.bmp",5,0.34483,5
"47","fruit.bmp",3,0.27886,3
"48","fruit.bmp",3,0.32784,3
"49","fruit.bmp",9,0.26575,9
"50","fruit.bmp",4,0.42793,4
"51","fruit.bmp",5,0.36108,5
"52","fruit.bmp",6,0.3448,6
"53","fruit.bmp",5,0.19715,5
"54","fruit.bmp",2,0.41049,2
"55","fruit.bmp",1,0.21378,1
"56","fruit.bmp",1,0.51572,1
"57","fruit.bmp",4,0.21346,4
"58","fruit.bmp",5,0.21344,5
"59","fruit.bmp",4,0.24579,4
"60","fruit.bmp",5,0.44347,5
"61","fruit.bmp",4,0.29507,4
"62","fruit.bmp",4,0.24669,4
"63","fruit.bmp",7,0.23096,7
"64","fruit.bmp",9,0.36306,9
"65","fruit.bmp",7,0.23004,7
"66","fruit.bmp",7,0.36138,7
"67","fruit.bmp",9,0.24653,9
"68","fruit.bmp",9,0.75615,9
"69","fruit.bmp",9,0.23067,9
"70","fruit.bmp",1,0.32903,1
"71","fruit.bmp",7,0.477,7
"72","fruit.bmp",0,0.41059,0
"73","fruit.bmp",9,0.21333,9
"74","fruit.bmp",0,0.36135,0
"75","fruit.bmp",9,0.29613,9
"76","fruit.bmp",9,0.39407,9
"77","fruit.bmp",9,0.77186,9
"78","fruit.bmp",9,0.82312,9
"79","fruit.bmp",1,0.64069,1
"80","fruit.bmp",1,0.49257,1
"81","fruit.bmp",6,0.34521,6
"82","fruit.bmp",6,0.37802,6
"83","fruit.bmp",1,0.31324,1
"84","fruit.bmp",1,0.55846,1
"85","fruit.bmp",1,0.45956,1
"86","fruit.bmp",3,0.23015,3
"87","fruit.bmp",1,0.59707,1
"88","fruit.bmp",1,0.29567,1
"89","fruit.bmp",2,0.39441,2
"90","fruit.bmp",5,0.22972,5
"91","fruit.bmp",4,0.29342,4
"92","fruit.bmp",9,0.24519,9
"93","fruit.bmp",1,0.50937,1
"94","fruit.bmp",1,0.27873,1
"95","fruit.bmp",6,0.19752,6
"96","fruit.bmp",9,0.22978,9
"97","fruit.bmp",5,0.80566,5
"98","fruit.bmp",6,0.34505,6
"99","fruit.bmp",6,0.34524,6
"100","fruit.bmp",1,0.22972,1
"101","fruit.bmp",6,0.21384,6
"102","fruit.bmp",9,0.21402,9
"103","fruit.bmp",1,0.21321,1
"104","fruit.bmp",2,0.44328,2
"105","fruit.bmp",4,0.26279,4
"106","intro.bmp",5,0.24634,5
"107","intro.bmp",8,0.2625,8
"108","intro.bmp",7,0.21349,7
"109","intro.bmp",8,0.21365,8
"110","intro.bmp",2,0.29512,2
"111","intro.bmp",4,0.64066,4
"112","intro.bmp",1,0.75597,1
"113","intro.bmp",8,0.19721,8
"114","intro.bmp",5,0.24567,5
"115","intro.bmp",0,0.59019,0
"116","intro.bmp",3,0.06601,3
"117","intro.bmp",4,0.34496,4
"118","intro.bmp",7,0.24554,7
"119","intro.bmp",3,1.08305,3
"120","intro.bmp",2,0.27945,2
"121","intro.bmp",1,0.24629,1
"122","intro.bmp",2,0.37797,2
"123","intro.bmp",0,0.29733,0
"124","intro.bmp",0,0.32848,0
"125","intro.bmp",0,0.26308,0
"126","intro.bmp",5,1.2649,5
"127","intro.bmp",2,0.22581,2
"128","intro.bmp",0,0.21326,0
"129","intro.bmp",0,0.32841,0
"130","intro.bmp",0,0.26244,0
"131","intro.bmp",0,0.27873,0
"132","intro.bmp",0,0.36153,0
"133","intro.bmp",6,0.26297,6
"134","intro.bmp",9,0.41084,9
"135","intro.bmp",1,0.19701,1
"136","intro.bmp",6,0.21304,6
"137","intro.bmp",6,0.2961,6
"138","intro.bmp",6,0.19698,6
"139","intro.bmp",6,0.4057,6
"140","intro.bmp",0,0.26402,0
"141","intro.bmp",2,0.29557,2
"142","intro.bmp",3,0.24636,3
"143","intro.bmp",6,0.21332,6
"144","intro.bmp",9,0.23267,9
"145","intro.bmp",6,0.39491,6
"146","intro.bmp",6,0.42699,6
"147","intro.bmp",6,0.2631,6
"148","intro.bmp",6,0.37821,6
"149","intro.bmp",6,0.64131,6
"150","intro.bmp",6,0.26302,6
"151","intro.bmp",6,0.72258,6
"152","intro.bmp",6,0.26242,6
"153","intro.bmp",6,0.23051,6
"154","intro.bmp",1,0.41041,1
"155","intro.bmp",0,0.55817,0
"156","intro.bmp",0,0.04791,0
"157","intro.bmp",0,0.19705,0
"158","intro.bmp",6,0.41245,6
"159","intro.bmp",1,0.3122,1
"160","intro.bmp",6,0.31162,6
"161","intro.bmp",0,1.03578,0
"162","intro.bmp",2,0.37775,2
"163","intro.bmp",5,0.23062,5
"164","intro.bmp",5,0.90427,5
"165","intro.bmp",6,0.24787,6
"166","intro.bmp",5,0.19656,5
"167","intro.bmp",2,0.24632,2
"168","intro.bmp",5,0.21336,5
"169","intro.bmp",7,0.39324,7
"170","intro.bmp",8,0.24684,8
"171","intro.bmp",4,0.21293,4
"172","intro.bmp",3,0.52542,3
"173","intro.bmp",3,0.2628,3
"174","intro.bmp",7,0.32243,7
"175","intro.bmp",8,0.34449,8
"176","intro.bmp",4,0.19721,4
"177","intro.bmp",3,0.72299,3
"178","intro.bmp",2,0.26311,2
"179","intro.bmp",3,0.25119,3
"180","intro.bmp",0,0.04932,0
"181","intro.bmp",0,0.23012,0
"182","intro.bmp",0,0.8707,0
"183","intro.bmp",1,0.35884,1
"184","intro.bmp",0,0.36311,0
"185","intro.bmp",0,0.37798,0
"186","intro.bmp",0,0.31195,0
"187","intro.bmp",3,0.26286,3
"188","intro.bmp",6,0.04944,6
"189","intro.bmp",6,0.31204,6
"190","intro.bmp",3,0.24629,3
"191","intro.bmp",2,0.31252,2
"192","intro.bmp",5,0.3614,5
"193","intro.bmp",4,0.24663,4
"194","intro.bmp",4,0.31171,4
"195","intro.bmp",6,0.42715,6
"196","intro.bmp",6,0.27921,6
"197","intro.bmp",4,0.21359,4
"198","intro.bmp",9,0.21391,9
"199","intro.bmp",8,0.29596,8
"200","intro.bmp",7,0.29546,7
"201","intro.bmp",0,0.32854,0
"202","intro.bmp",2,0.24672,2
"203","intro.bmp",2,0.22981,2
"204","intro.bmp",9,0.19754,9
"205","intro.bmp",3,0.20689,3
"206","intro.bmp",1,0.24529,1
"207","intro.bmp",1,0.50778,1
"208","intro.bmp",7,0.45956,7
"209","intro.bmp",7,0.39441,7
"210","intro.bmp",7,1.46243,7
"211","intro.bmp",7,0.34537,7
"212","intro.bmp",2,0.27458,2
"213","intro.bmp",2,0.26259,2
"214","intro.bmp",7,0.2798,7
"215","intro.bmp",0,0.62427,0
"216","intro.bmp",8,0.26321,8
"217","intro.bmp",4,0.24625,4
"218","intro.bmp",5,0.34479,5
"219","intro.bmp",1,0.60783,1
"220","intro.bmp",1,0.37753,1
"221","0.bmp",3,0.41113,3
"222","0.bmp",0,0.3286,0
"223","0.bmp",6,0.25378,6
"224","0.bmp",5,0.3119,5
"225","0.bmp",0,0.29555,0
"226","0.bmp",0,0.39436,0
"227","0.bmp",2,0.22971,2
"228","0.bmp",2,0.32858,2
"229","0.bmp",1,0.21315,1
"230","0.bmp",5,0.06566,5
"231","0.bmp",5,0.62408,5
"232","0.bmp",0,0.26268,0
"233","0.bmp",8,0.50941,8
"234","0.bmp",0,0.34541,0
"235","0.bmp",8,0.32889,8
"236","0.bmp",8,0.41096,8
"237","0.bmp",0,0.19748,0
"238","0.bmp",1,0.26277,1
"239","0.bmp",2,0.39445,2
"240","0.bmp",7,0.44551,7
"241","0.bmp",0,0.5912,0
"242","0.bmp",1,0.27882,1
"243","0.bmp",2,0.3288,2
"244","0.bmp",0,0.19691,0
"245","0.bmp",8,0.19829,8
"246","0.bmp",0,1.01884,0
"247","0.bmp",1,0.3618,1
