"","slide","initalAOI","fixationTime","correctedAOI"
"1","intro.bmp",7,0.29481,7
"2","intro.bmp",5,0.24684,5
"3","intro.bmp",5,0.2794,5
"4","intro.bmp",6,0.26079,6
"5","intro.bmp",3,0.26293,3
"6","intro.bmp",4,0.27911,4
"7","intro.bmp",1,0.24802,1
"8","intro.bmp",2,0.36102,2
"9","intro.bmp",8,0.19738,8
"10","intro.bmp",0,0.24636,0
"11","intro.bmp",9,0.42742,9
"12","intro.bmp",6,0.24606,6
"13","intro.bmp",4,0.23038,4
"14","intro.bmp",2,0.21324,2
"15","intro.bmp",7,0.26242,7
"16","intro.bmp",4,0.24585,4
"17","intro.bmp",6,0.1652,6
"18","intro.bmp",3,0.21364,3
"19","intro.bmp",3,0.4933,3
"20","intro.bmp",3,0.44341,3
"21","intro.bmp",3,0.27932,3
"22","intro.bmp",2,0.23012,2
"23","intro.bmp",0,0.29545,0
"24","intro.bmp",8,0.27911,8
"25","intro.bmp",0,0.37868,0
"26","0.bmp",2,1.14974,2
"27","0.bmp",0,0.35966,0
"28","0.bmp",4,0.32909,4
"29","0.bmp",7,0.31197,7
"30","0.bmp",9,0.26191,9
"31","0.bmp",5,0.44344,5
"32","0.bmp",8,0.45819,8
"33","0.bmp",0,0.27826,0
"34","0.bmp",6,0.21411,6
"35","0.bmp",3,0.21467,3
"36","0.bmp",0,0.36068,0
"37","0.bmp",4,0.36114,4
"38","0.bmp",4,0.42323,4
"39","0.bmp",5,0.24622,5
"40","0.bmp",5,0.27991,5
"41","0.bmp",6,0.23113,6
"42","0.bmp",6,0.19714,6
"43","0.bmp",7,0.19719,7
"44","0.bmp",1,0.19617,1
"45","0.bmp",2,0.44237,2
"46","0.bmp",2,0.49243,2
"47","0.bmp",3,0.39429,3
"48","0.bmp",9,0.09853,9
"49","0.bmp",4,0.44367,4
"50","0.bmp",4,0.47629,4
"51","0.bmp",5,0.24516,5
"52","0.bmp",7,0.34621,7
"53","0.bmp",7,0.37795,7
"54","0.bmp",3,0.1985,3
"55","0.bmp",5,0.32772,5
"56","0.bmp",8,0.29806,8
"57","0.bmp",6,0.21322,6
