"","slide","initalAOI","fixationTime","correctedAOI"
"1","fruit.bmp",7,0.48522,7
"2","fruit.bmp",4,0.70644,4
"3","fruit.bmp",4,0.22982,4
"4","fruit.bmp",6,0.91974,6
"5","fruit.bmp",6,0.41605,6
"6","fruit.bmp",5,0.55047,5
"7","fruit.bmp",6,0.493,6
"8","fruit.bmp",9,0.44341,9
"9","fruit.bmp",9,0.36079,9
"10","fruit.bmp",1,0.08675,1
"11","fruit.bmp",1,0.5672,1
"12","fruit.bmp",6,2.10285,6
"13","fruit.bmp",6,0.41211,6
"14","fruit.bmp",7,1.43999,7
"15","intro.bmp",7,1.65903,7
"16","intro.bmp",4,0.345,4
"17","intro.bmp",1,0.24032,1
"18","intro.bmp",4,0.54223,4
"19","intro.bmp",6,0.22898,6
"20","intro.bmp",6,0.26242,6
"21","intro.bmp",3,0.36147,3
"22","intro.bmp",6,0.21405,6
"23","intro.bmp",7,0.29527,7
"24","intro.bmp",1,0.31283,1
"25","intro.bmp",9,0.44528,9
"26","intro.bmp",5,0.25106,5
"27","intro.bmp",4,0.23003,4
"28","intro.bmp",5,0.24695,5
"29","intro.bmp",5,0.3124,5
"30","intro.bmp",6,0.2303,6
"31","intro.bmp",6,0.27972,6
"32","intro.bmp",9,0.0609,9
"33","intro.bmp",6,0.44589,6
"34","intro.bmp",9,0.59277,9
"35","intro.bmp",9,0.40958,9
"36","intro.bmp",8,0.41147,8
"37","intro.bmp",8,0.49238,8
"38","intro.bmp",5,0.8208,5
"39","intro.bmp",5,0.31219,5
"40","intro.bmp",0,0.24619,0
"41","intro.bmp",0,0.21678,0
"42","intro.bmp",5,0.13123,5
"43","intro.bmp",5,0.57752,5
"44","intro.bmp",5,0.42734,5
"45","intro.bmp",5,1.2325,5
"46","intro.bmp",4,0.36123,4
"47","intro.bmp",5,0.32946,5
"48","intro.bmp",5,0.53908,5
"49","intro.bmp",5,0.42867,5
"50","intro.bmp",6,0.39426,6
"51","intro.bmp",5,0.57345,5
"52","intro.bmp",4,1.39391,4
