"","slide","initalAOI","fixationTime","correctedAOI"
"1","fruit.bmp",2,0.09936,2
"2","fruit.bmp",0,0.19431,0
"3","fruit.bmp",0,0.14825,0
"4","fruit.bmp",0,0.59118,0
"5","fruit.bmp",0,0.26302,0
"6","fruit.bmp",0,0.04899,0
"7","fruit.bmp",1,0.26252,1
"8","fruit.bmp",0,0.32991,0
"9","fruit.bmp",1,0.34621,1
"10","fruit.bmp",5,0.42674,5
"11","fruit.bmp",3,0.29585,3
"12","fruit.bmp",3,0.24621,3
"13","fruit.bmp",2,0.09955,2
"14","fruit.bmp",0,0.58469,0
"15","fruit.bmp",2,0.32845,2
"16","fruit.bmp",2,0.3941,2
"17","fruit.bmp",2,0.45801,2
"18","fruit.bmp",5,0.21268,5
"19","fruit.bmp",0,0.50964,0
"20","fruit.bmp",0,0.24698,0
"21","fruit.bmp",6,0.27898,6
"22","fruit.bmp",9,0.46057,9
"23","fruit.bmp",6,0.14519,6
"24","fruit.bmp",2,0.24714,2
"25","fruit.bmp",0,0.37647,0
"26","fruit.bmp",6,0.26286,6
"27","fruit.bmp",4,0.29908,4
"28","fruit.bmp",2,0.32725,2
"29","fruit.bmp",7,0.2459,7
"30","fruit.bmp",9,1.54478,9
"31","fruit.bmp",4,0.68991,4
"32","intro.bmp",2,0.23009,2
"33","intro.bmp",8,0.34557,8
"34","intro.bmp",0,0.19728,0
"35","intro.bmp",8,0.32656,8
"36","intro.bmp",6,0.23048,6
"37","intro.bmp",8,0.19716,8
"38","intro.bmp",6,0.21336,6
"39","intro.bmp",9,0.19727,9
"40","intro.bmp",6,0.19643,6
"41","intro.bmp",5,0.26241,5
"42","intro.bmp",2,0.27901,2
"43","intro.bmp",3,0.37858,3
"44","intro.bmp",6,0.2636,6
"45","intro.bmp",0,0.37797,0
"46","intro.bmp",0,0.26509,0
"47","intro.bmp",0,0.39386,0
"48","intro.bmp",2,0.4274,2
"49","intro.bmp",2,0.27937,2
"50","intro.bmp",2,0.26267,2
"51","intro.bmp",1,0.42689,1
"52","intro.bmp",7,0.14774,7
"53","intro.bmp",0,0.22987,0
"54","intro.bmp",3,0.57482,3
"55","intro.bmp",0,0.2945,0
"56","intro.bmp",0,0.19617,0
"57","intro.bmp",0,0.49313,0
"58","intro.bmp",0,0.26175,0
"59","intro.bmp",0,0.57389,0
"60","intro.bmp",0,0.19735,0
"61","intro.bmp",0,0.22979,0
"62","intro.bmp",0,0.36159,0
"63","intro.bmp",0,0.21397,0
"64","intro.bmp",5,0.20036,5
"65","intro.bmp",5,0.26405,5
"66","intro.bmp",9,0.77184,9
"67","intro.bmp",0,0.16385,0
"68","intro.bmp",8,0.19759,8
"69","intro.bmp",0,0.21435,0
"70","intro.bmp",0,0.36115,0
"71","intro.bmp",0,0.27931,0
"72","intro.bmp",5,0.23042,5
"73","intro.bmp",8,0.32845,8
"74","intro.bmp",0,0.23027,0
"75","intro.bmp",0,0.57494,0
"76","intro.bmp",8,0.39433,8
"77","intro.bmp",0,0.18448,0
"78","intro.bmp",0,0.23657,0
"79","intro.bmp",0,0.27753,0
"80","intro.bmp",0,0.70611,0
"81","intro.bmp",0,0.41355,0
"82","intro.bmp",0,0.27938,0
"83","intro.bmp",0,0.1973,0
"84","intro.bmp",0,0.21159,0
"85","intro.bmp",5,0.77292,5
"86","intro.bmp",4,0.52572,4
"87","intro.bmp",4,0.32838,4
"88","intro.bmp",6,0.16429,6
"89","intro.bmp",6,0.21357,6
"90","intro.bmp",1,0.24953,1
"91","intro.bmp",7,0.19756,7
"92","intro.bmp",7,0.27929,7
"93","intro.bmp",1,0.21397,1
"94","intro.bmp",2,0.1803,2
"95","intro.bmp",8,0.26907,8
"96","intro.bmp",8,0.32866,8
"97","intro.bmp",9,0.28056,9
"98","intro.bmp",7,0.29502,7
"99","intro.bmp",4,0.47669,4
"100","intro.bmp",1,0.26257,1
"101","0.bmp",2,0.23019,2
"102","0.bmp",7,0.19745,7
"103","0.bmp",4,0.45973,4
"104","0.bmp",0,0.29604,0
"105","0.bmp",1,0.2625,1
"106","0.bmp",3,0.19678,3
"107","0.bmp",2,0.21684,2
"108","0.bmp",6,0.23018,6
"109","0.bmp",6,0.11446,6
"110","0.bmp",9,0.31234,9
"111","0.bmp",8,0.24657,8
"112","0.bmp",8,0.36145,8
"113","0.bmp",0,0.21395,0
"114","0.bmp",7,0.24619,7
"115","0.bmp",0,0.13165,0
"116","0.bmp",0,0.32826,0
"117","0.bmp",0,0.60811,0
"118","0.bmp",3,0.459,3
"119","0.bmp",8,0.37854,8
"120","0.bmp",0,0.23,0
"121","0.bmp",2,0.36052,2
"122","0.bmp",2,0.23856,2
"123","0.bmp",2,0.36186,2
"124","0.bmp",3,0.31216,3
"125","0.bmp",5,0.29562,5
"126","0.bmp",5,0.13142,5
