"","X","P0x","P0y","P1x","P1y","P2x","P2y","P3x","P3y"
"1","AOI1",0.24091796875,0.121354166666667,0.40830078125,0.121354166666667,0.40830078125,0.345052083333333,0.24091796875,0.345052083333333
"2","AOI2",0.42236328125,0.125260416666667,0.58056640625,0.125260416666667,0.58056640625,0.34765625,0.42236328125,0.34765625
"3","AOI3",0.58642578125,0.131770833333333,0.74638671875,0.131770833333333,0.74638671875,0.348958333333333,0.58642578125,0.348958333333333
"4","AOI4",0.24677734375,0.36015625,0.40732421875,0.36015625,0.40732421875,0.569401041666667,0.24677734375,0.569401041666667
"5","AOI5",0.42431640625,0.366666666666667,0.57470703125,0.366666666666667,0.57470703125,0.566796875,0.42431640625,0.566796875
"6","AOI6",0.59130859375,0.3640625,0.75029296875,0.3640625,0.75029296875,0.573307291666667,0.59130859375,0.573307291666667
"7","AOI7",0.24384765625,0.583463541666667,0.40830078125,0.583463541666667,0.40830078125,0.796223958333333,0.24384765625,0.796223958333333
"8","AOI8",0.42138671875,0.584765625,0.58154296875,0.584765625,0.58154296875,0.810546875,0.42138671875,0.810546875
"9","AOI9",0.59033203125,0.584765625,0.74638671875,0.584765625,0.74638671875,0.793619791666667,0.59033203125,0.793619791666667
