,P0x,P0y,P1x,P1y,P2x,P2y,P3x,P3y
AOI1,246.7,93.2,418.1,93.2,418.1,265,246.7,265
AOI2,432.5,96.2,594.5,96.2,594.5,267,432.5,267
AOI3,600.5,101.2,764.3,101.2,764.3,268,600.5,268
AOI4,252.7,276.6,417.1,276.6,417.1,437.3,252.7,437.3
AOI5,434.5,281.6,588.5,281.6,588.5,435.3,434.5,435.3
AOI6,605.5,279.6,768.3,279.6,768.3,440.3,605.5,440.3
AOI7,249.7,448.1,418.1,448.1,418.1,611.5,249.7,611.5
AOI8,431.5,449.1,595.5,449.1,595.5,622.5,431.5,622.5
AOI9,604.5,449.1,764.3,449.1,764.3,609.5,604.5,609.5
