,P0x,P0y,P1x,P1y,P2x,P2y,P3x,P3y
AOI1,241.7,64.8,417.1,64.8,417.1,233.6,241.7,233.6
AOI2,426.1,57.8,590.9,57.8,590.9,230.6,426.1,230.6
AOI3,605.9,58.8,776.9,58.8,776.9,229.6,605.9,229.6
AOI4,245.1,241,420.1,241,420.1,403.7,245.1,403.7
AOI5,435.1,246,587.9,246,587.9,398.7,435.1,398.7
AOI6,598.9,238,768.9,238,768.9,401.7,598.9,401.7
AOI7,255.1,413.1,418.1,413.1,418.1,577.5,255.1,577.5
AOI8,429.1,413.1,593.9,413.1,593.9,581.5,429.1,581.5
AOI9,604.9,411.1,773.9,411.1,773.9,579.5,604.9,579.5
