"","Slide","Click1","Click2","Click3","Transition","Validation"
"1","fruit.bmp",NA,NA,NA,"Invalid","Invalid"
"2","intro.bmp",1,2,3,"Surface","Surface"
"3","0.bmp",3,6,9,"Surface","Surface"
"4","1.bmp",1,4,7,"Surface","Surface"
"5","2.bmp",1,4,7,"Surface","Surface"
"6","3.bmp",2,5,8,"Surface","Surface"
"7","4.bmp",2,5,8,"Surface","Invalid"
"8","5.bmp",1,4,7,"Surface","Surface"
"9","6.bmp",3,6,9,"Surface","Surface"
"10","7.bmp",1,7,8,"Invalid","Invalid"
"11","8.bmp",3,6,9,"Surface","Invalid"
"12","9.bmp",4,7,9,"Surface","Surface"
"13","10.bmp",2,4,7,"Surface","Surface"
"14","11.bmp",5,6,9,"Surface","Invalid"
