"","Slide","Click1","Click2","Click3","Transition","Validation"
"1","fruit.bmp",1,3,9,"Invalid","Invalid"
"2","intro.bmp",3,5,7,"Invalid","Invalid"
"3","0.bmp",3,6,9,"Surface","Surface"
"4","1.bmp",1,4,7,"Surface","Surface"
"5","2.bmp",3,6,9,"Surface","Invalid"
"6","3.bmp",1,4,7,"Surface","Surface"
"7","4.bmp",1,4,7,"Surface","Surface"
"8","5.bmp",3,6,9,"Surface","Invalid"
"9","6.bmp",1,4,7,"Surface","Surface"
"10","7.bmp",1,7,8,"Invalid","Surface"
"11","8.bmp",2,5,8,"Surface","Invalid"
"12","9.bmp",1,3,6,"Surface","Invalid"
"13","10.bmp",2,4,7,"Surface","Surface"
"14","11.bmp",3,4,8,"Surface","Invalid"
