"","Slide","Click1","Click2","Click3","Transition","Validation"
"1","fruit.bmp",1,2,3,"Surface","Surface"
"2","intro.bmp",1,3,8,"Invalid","Invalid"
"3","0.bmp",3,6,9,"Surface","Surface"
"4","1.bmp",3,6,9,"Surface","Surface"
"5","2.bmp",1,4,7,"Surface","Surface"
"6","3.bmp",1,4,7,"Surface","Surface"
"7","4.bmp",3,6,9,"Surface","Surface"
"8","5.bmp",1,4,7,"Surface","Surface"
"9","6.bmp",1,4,7,"Surface","Surface"
"10","7.bmp",1,7,8,"Invalid","Invalid"
"11","8.bmp",1,4,7,"Surface","Surface"
"12","9.bmp",1,3,6,"Surface","Surface"
"13","10.bmp",3,5,6,"Surface","Surface"
"14","11.bmp",3,4,8,"Surface","Invalid"
