"","slide","initialAOI","fixationTime","correctedAOI","Transition"
"1","fruit.bmp",6,0,6,"Invalid"
"2","fruit.bmp",2,0.47579,2,"Invalid"
"3","fruit.bmp",1,0.39463,1,"Surface"
"4","fruit.bmp",4,0.80473,4,"Meaningful"
"5","fruit.bmp",3,1.10117,3,"Invalid"
"6","fruit.bmp",1,0.70616,1,"Surface"
"7","fruit.bmp",2,0.71027,2,"Surface"
"8","fruit.bmp",1,1.00016,1,"Surface"
"9","fruit.bmp",6,0.21458,6,"Invalid"
"10","fruit.bmp",5,0.70629,5,"Surface"
"11","fruit.bmp",7,0.21285,7,"Invalid"
"12","fruit.bmp",8,0.24677,8,"Surface"
"13","intro.bmp",7,0.31184,7,"Invalid"
"14","intro.bmp",6,0.24609,6,"Invalid"
"15","intro.bmp",8,0.23011,8,"Invalid"
"16","intro.bmp",9,0.62431,9,"Surface"
"17","intro.bmp",8,0.44362,8,"Surface"
"18","intro.bmp",6,0.42703,6,"Invalid"
"19","intro.bmp",8,0.77229,8,"Invalid"
"20","intro.bmp",9,0.32802,9,"Surface"
"21","intro.bmp",8,0.24654,8,"Surface"
"22","intro.bmp",5,0.36229,5,"Meaningful"
"23","intro.bmp",1,0.21418,1,"Invalid"
"24","intro.bmp",6,1.18291,6,"Invalid"
"25","intro.bmp",5,0.34499,5,"Surface"
"26","intro.bmp",7,0.22997,7,"Invalid"
"27","intro.bmp",4,0.54309,4,"Meaningful"
"28","intro.bmp",7,0.24559,7,"Meaningful"
"29","intro.bmp",1,0.67362,1,"Meaningful"
"30","intro.bmp",5,0.55814,5,"Invalid"
"31","intro.bmp",6,0.22936,6,"Surface"
"32","intro.bmp",9,0.3633,9,"Meaningful"
"33","intro.bmp",6,0.22952,6,"Meaningful"
"34","intro.bmp",1,0.26398,1,"Invalid"
"35","intro.bmp",8,0.45995,8,"Invalid"
"36","intro.bmp",6,0.19758,6,"Invalid"
"37","intro.bmp",5,0.19705,5,"Surface"
"38","intro.bmp",9,0.29574,9,"Invalid"
"39","intro.bmp",6,0.19695,6,"Meaningful"
"40","intro.bmp",8,0.24638,8,"Invalid"
"41","intro.bmp",5,0.23012,5,"Meaningful"
"42","intro.bmp",8,0.65699,8,"Meaningful"
"43","intro.bmp",5,0.2799,5,"Meaningful"
"44","intro.bmp",2,0.54268,2,"Meaningful"
"45","intro.bmp",1,0.24586,1,"Surface"
"46","intro.bmp",3,0.49422,3,"Surface"
"47","intro.bmp",6,0.26302,6,"Meaningful"
"48","intro.bmp",7,0.23027,7,"Invalid"
"49","intro.bmp",4,0.27936,4,"Meaningful"
"50","intro.bmp",5,0.29587,5,"Surface"
"51","intro.bmp",9,0.2303,9,"Invalid"
"52","intro.bmp",8,0.21342,8,"Surface"
"53","intro.bmp",4,0.36087,4,"Invalid"
"54","intro.bmp",1,0.24816,1,"Meaningful"
"55","intro.bmp",4,0.23016,4,"Meaningful"
"56","intro.bmp",2,0.19705,2,"Invalid"
"57","intro.bmp",3,0.27918,3,"Surface"
"58","intro.bmp",1,0.34496,1,"Surface"
"59","intro.bmp",7,0.29553,7,"Meaningful"
"60","intro.bmp",5,0.34496,5,"Invalid"
"61","intro.bmp",3,0.31198,3,"Invalid"
"62","intro.bmp",5,0.49287,5,"Invalid"
"63","intro.bmp",8,0.26255,8,"Meaningful"
"64","intro.bmp",7,0.5585,7,"Surface"
"65","intro.bmp",8,0.62418,8,"Surface"
"66","intro.bmp",6,0.44333,6,"Invalid"
"67","intro.bmp",3,0.41058,3,"Meaningful"
"68","intro.bmp",6,0.2299,6,"Meaningful"
"69","0.bmp",3,1.11541,3,"Invalid"
"70","0.bmp",5,0.72249,5,"Invalid"
"71","0.bmp",3,1.33093,3,"Invalid"
"72","0.bmp",7,0.82151,7,"Invalid"
"73","0.bmp",8,0.24587,8,"Meaningful"
"74","0.bmp",6,0.65744,6,"Invalid"
"75","0.bmp",3,0.24637,3,"Surface"
"76","0.bmp",2,0.29633,2,"Meaningful"
"77","0.bmp",1,0.23017,1,"Meaningful"
"78","0.bmp",4,0.2947,4,"Surface"
"79","0.bmp",9,0.50954,9,"Invalid"
"80","0.bmp",8,0.93647,8,"Meaningful"
"81","0.bmp",3,0.29485,3,"Invalid"
"82","0.bmp",2,0.4765,2,"Meaningful"
"83","0.bmp",8,0.24601,8,"Surface"
"84","0.bmp",7,0.22988,7,"Meaningful"
"85","0.bmp",8,0.1982,8,"Meaningful"
"86","0.bmp",4,0.24521,4,"Invalid"
"87","0.bmp",2,0.72397,2,"Invalid"
"88","0.bmp",1,0.22966,1,"Meaningful"
"89","0.bmp",4,0.29604,4,"Surface"
"90","0.bmp",5,0.3285,5,"Meaningful"
"91","0.bmp",8,0.47561,8,"Surface"
"92","0.bmp",3,0.2141,3,"Invalid"
"93","0.bmp",6,0.32848,6,"Surface"
"94","0.bmp",5,0.65753,5,"Meaningful"
"95","0.bmp",3,0.36172,3,"Invalid"
"96","0.bmp",2,0.26059,2,"Meaningful"
"97","0.bmp",1,0.23011,1,"Meaningful"
"98","0.bmp",4,0.04922,4,"Surface"
"99","0.bmp",7,0.3614,7,"Surface"
"100","0.bmp",8,0.60308,8,"Meaningful"
"101","0.bmp",6,0.32895,6,"Invalid"
"102","0.bmp",2,0.6208,2,"Invalid"
"103","0.bmp",1,1.06756,1,"Meaningful"
"104","0.bmp",4,0.39439,4,"Surface"
"105","0.bmp",7,0.4599,7,"Surface"
"106","0.bmp",6,0.50922,6,"Invalid"
"107","0.bmp",3,0.49264,3,"Surface"
"108","0.bmp",5,0.24735,5,"Invalid"
"109","0.bmp",8,0.22998,8,"Surface"
"110","0.bmp",9,1.28134,9,"Meaningful"
"111","0.bmp",8,0.67481,8,"Meaningful"
"112","0.bmp",3,0.69034,3,"Invalid"
"113","0.bmp",5,0.42661,5,"Invalid"
"114","0.bmp",8,1.31471,8,"Surface"
"115","0.bmp",5,0.52581,5,"Surface"
"116","0.bmp",4,0.36155,4,"Meaningful"
"117","0.bmp",3,0.3447,3,"Invalid"
"118","1.bmp",6,0.44732,4,"Invalid"
"119","1.bmp",2,0.50923,5,"Meaningful"
"120","1.bmp",3,1.08462,2,"Surface"
"121","1.bmp",2,0.2135,5,"Surface"
"122","1.bmp",1,0.25549,9,"Invalid"
"123","1.bmp",3,0.1973,2,"Invalid"
"124","1.bmp",6,0.28949,4,"Invalid"
"125","1.bmp",9,0.2469,6,"Meaningful"
"126","1.bmp",3,0.93659,2,"Invalid"
"127","1.bmp",5,0.70629,3,"Meaningful"
"128","1.bmp",8,0.39429,8,"Invalid"
"129","1.bmp",1,0.54204,9,"Meaningful"
"130","1.bmp",4,0.21378,7,"Meaningful"
"131","1.bmp",7,0.26292,1,"Surface"
"132","1.bmp",2,1.06928,5,"Invalid"
"133","1.bmp",3,0.24747,2,"Surface"
"134","1.bmp",8,0.2467,8,"Surface"
"135","1.bmp",2,0.62318,5,"Surface"
"136","1.bmp",4,0.42216,7,"Invalid"
"137","1.bmp",6,0.78839,4,"Surface"
"138","1.bmp",7,0.83746,1,"Surface"
"139","1.bmp",4,0.21335,7,"Surface"
"140","1.bmp",6,0.70662,4,"Surface"
"141","1.bmp",9,0.21582,6,"Meaningful"
"142","1.bmp",1,0.24657,9,"Surface"
"143","1.bmp",5,1.07753,3,"Surface"
"144","1.bmp",8,0.51021,8,"Invalid"
"145","1.bmp",9,0.32822,6,"Invalid"
"146","1.bmp",2,0.21349,5,"Meaningful"
"147","1.bmp",3,1.06741,2,"Surface"
"148","1.bmp",5,0.27925,3,"Meaningful"
"149","1.bmp",4,0.22995,7,"Invalid"
"150","1.bmp",7,0.2308,1,"Surface"
"151","1.bmp",6,0.23085,4,"Surface"
"152","1.bmp",2,0.39418,5,"Meaningful"
"153","1.bmp",3,0.47852,2,"Surface"
"154","1.bmp",4,0.75558,7,"Invalid"
"155","1.bmp",8,0.37886,8,"Meaningful"
"156","1.bmp",2,0.45993,5,"Surface"
"157","1.bmp",1,0.22586,9,"Invalid"
"158","1.bmp",5,0.2139,3,"Surface"
"159","1.bmp",6,0.21349,4,"Invalid"
"160","1.bmp",4,0.97182,7,"Surface"
"161","1.bmp",7,0.26511,1,"Surface"
"162","1.bmp",1,0.65689,9,"Invalid"
"163","1.bmp",5,0.26305,3,"Surface"
"164","1.bmp",8,0.27934,8,"Invalid"
"165","2.bmp",5,1.08444,5,"Invalid"
"166","2.bmp",2,0.69274,7,"Invalid"
"167","2.bmp",3,0.21344,9,"Meaningful"
"168","2.bmp",2,2.45872,7,"Meaningful"
"169","2.bmp",3,0.50868,9,"Meaningful"
"170","2.bmp",8,0.49179,6,"Surface"
"171","2.bmp",4,0.42703,8,"Invalid"
"172","2.bmp",2,0.33128,7,"Meaningful"
"173","2.bmp",1,0.27908,2,"Invalid"
"174","2.bmp",5,0.21368,5,"Surface"
"175","2.bmp",1,0.27937,2,"Surface"
"176","2.bmp",2,0.2301,7,"Invalid"
"177","2.bmp",8,1.06935,6,"Invalid"
"178","2.bmp",2,0.1971,7,"Invalid"
"179","2.bmp",4,0.21468,8,"Meaningful"
"180","2.bmp",1,0.31239,2,"Surface"
"181","2.bmp",2,0.60736,7,"Invalid"
"182","2.bmp",3,0.29579,9,"Meaningful"
"183","2.bmp",6,0.26254,1,"Invalid"
"184","2.bmp",5,0.2957,5,"Invalid"
"185","2.bmp",8,0.2028,6,"Meaningful"
"186","2.bmp",7,0.92029,3,"Surface"
"187","2.bmp",3,0.21269,9,"Surface"
"188","2.bmp",5,0.21352,5,"Invalid"
"189","2.bmp",2,0.3286,7,"Invalid"
"190","2.bmp",6,0.23093,1,"Surface"
