"","slide","initialAOI","fixationTime","correctedAOI","Transition"
"109","0.bmp",4,0.29593,4,"Surface"
"110","0.bmp",2,0.21411,2,"Invalid"
"111","0.bmp",5,0.3121,5,"Surface"
"112","0.bmp",3,0.21292,3,"Invalid"
"113","0.bmp",5,0.23053,5,"Invalid"
"114","0.bmp",4,0.32877,4,"Meaningful"
"115","0.bmp",1,0.29549,1,"Surface"
"116","0.bmp",2,0.29594,2,"Meaningful"
"117","0.bmp",8,0.80517,8,"Surface"
"118","0.bmp",9,0.21356,9,"Meaningful"
"119","0.bmp",6,0.30272,6,"Surface"
"120","0.bmp",9,0.62466,9,"Surface"
"121","0.bmp",5,0.35283,5,"Invalid"
"122","0.bmp",3,2.84259,3,"Invalid"
"123","0.bmp",5,0.37802,5,"Invalid"
"124","1.bmp",6,0.22989,6,"Invalid"
"125","1.bmp",9,0.27902,5,"Meaningful"
"126","1.bmp",6,0.36169,6,"Meaningful"
"127","1.bmp",3,1.84052,3,"Surface"
"128","1.bmp",6,0.45978,6,"Surface"
"129","1.bmp",7,0.57436,2,"Invalid"
"130","1.bmp",8,0.21446,7,"Invalid"
"131","1.bmp",9,0.23065,5,"Invalid"
"132","1.bmp",6,0.27975,6,"Meaningful"
"133","1.bmp",9,0.57492,5,"Meaningful"
"134","1.bmp",3,0.46008,3,"Invalid"
"135","1.bmp",5,0.49231,8,"Invalid"
"136","1.bmp",6,0.2784,6,"Invalid"
"137","1.bmp",2,0.2133,4,"Meaningful"
"138","1.bmp",1,0.69215,9,"Invalid"
"139","1.bmp",2,0.21375,4,"Invalid"
"140","1.bmp",5,0.32877,8,"Invalid"
"141","1.bmp",2,0.30907,4,"Invalid"
"142","1.bmp",4,0.29538,1,"Surface"
"143","1.bmp",5,0.24765,8,"Invalid"
"144","1.bmp",7,0.39464,2,"Surface"
"145","1.bmp",5,0.75468,8,"Surface"
"146","1.bmp",2,0.37709,4,"Invalid"
"147","1.bmp",1,1.05387,9,"Invalid"
"148","1.bmp",5,0.19772,8,"Meaningful"
"149","1.bmp",2,0.22998,4,"Invalid"
"150","1.bmp",4,0.50929,1,"Surface"
"151","1.bmp",5,0.36086,8,"Invalid"
"152","1.bmp",2,0.2636,4,"Invalid"
"153","1.bmp",4,0.59389,1,"Surface"
"154","1.bmp",5,0.24608,8,"Invalid"
"155","1.bmp",6,0.26297,6,"Invalid"
"156","1.bmp",5,1.77425,8,"Invalid"
"157","1.bmp",2,0.59048,4,"Invalid"
"158","1.bmp",1,0.25911,9,"Invalid"
"159","1.bmp",4,0.34525,1,"Invalid"
"160","1.bmp",7,0.24657,2,"Meaningful"
"161","1.bmp",8,0.248,7,"Invalid"
"162","1.bmp",6,0.40967,6,"Invalid"
"163","1.bmp",5,0.47606,8,"Invalid"
"164","1.bmp",2,0.95162,4,"Invalid"
"165","1.bmp",4,0.36179,1,"Surface"
"166","1.bmp",8,0.2627,7,"Surface"
"167","1.bmp",4,0.28017,1,"Surface"
"168","1.bmp",7,0.46091,2,"Meaningful"
"169","1.bmp",6,0.58612,6,"Invalid"
"170","1.bmp",7,0.18149,2,"Invalid"
"171","1.bmp",5,0.34354,8,"Surface"
"172","1.bmp",3,0.39394,3,"Invalid"
"173","1.bmp",9,2.28334,5,"Invalid"
"174","1.bmp",8,0.29567,7,"Invalid"
"175","1.bmp",2,0.39548,4,"Surface"
"176","1.bmp",1,0.37776,9,"Invalid"
"177","1.bmp",2,1.0725,4,"Invalid"
"178","1.bmp",1,0.5274,9,"Invalid"
"179","1.bmp",3,0.44362,3,"Surface"
"180","1.bmp",5,0.34505,8,"Invalid"
"181","1.bmp",2,0.34421,4,"Invalid"
"182","1.bmp",6,0.48271,6,"Meaningful"
"183","1.bmp",9,0.75668,5,"Meaningful"
"184","1.bmp",7,0.3111,2,"Surface"
"185","1.bmp",8,0.52574,7,"Invalid"
"186","1.bmp",7,0.2301,2,"Invalid"
"187","1.bmp",9,0.84366,5,"Surface"
"188","1.bmp",7,1.67072,2,"Surface"
"189","1.bmp",5,1.10092,8,"Surface"
"190","2.bmp",6,0.47466,4,"Invalid"
"191","2.bmp",5,0.85745,1,"Surface"
"192","2.bmp",2,0.90271,8,"Invalid"
"193","2.bmp",6,0.23018,4,"Invalid"
"194","2.bmp",4,0.20273,3,"Invalid"
"195","2.bmp",6,0.25378,4,"Invalid"
"196","2.bmp",2,0.70741,8,"Invalid"
"197","2.bmp",6,0.32858,4,"Invalid"
