"","slide","initialAOI","fixationTime","correctedAOI","Transition"
"1","fruit.bmp",5,0.50931,5,"Invalid"
"2","fruit.bmp",2,0.77204,2,"Meaningful"
"3","fruit.bmp",5,0.32853,5,"Meaningful"
"4","fruit.bmp",4,0.26305,4,"Surface"
"5","fruit.bmp",2,0.21366,2,"Invalid"
"6","fruit.bmp",3,0.31242,3,"Surface"
"7","fruit.bmp",5,0.1981,5,"Invalid"
"8","fruit.bmp",7,0.1935,7,"Invalid"
"9","fruit.bmp",6,0.49262,6,"Invalid"
"10","fruit.bmp",9,0.24207,9,"Meaningful"
"11","fruit.bmp",1,0.13139,1,"Invalid"
"12","fruit.bmp",2,0.27899,2,"Surface"
"13","fruit.bmp",3,0.26273,3,"Surface"
"14","fruit.bmp",4,0.19727,4,"Invalid"
"15","fruit.bmp",2,0.8747,2,"Invalid"
"16","fruit.bmp",9,0.2134,9,"Invalid"
"17","fruit.bmp",6,0.6235,6,"Meaningful"
"18","fruit.bmp",2,0.21371,2,"Invalid"
"19","fruit.bmp",5,0.32666,5,"Meaningful"
"20","fruit.bmp",2,0.55869,2,"Meaningful"
"21","fruit.bmp",6,0.23,6,"Invalid"
"22","fruit.bmp",1,0.443,1,"Invalid"
"23","fruit.bmp",9,0.39413,9,"Invalid"
"24","fruit.bmp",7,0.32805,7,"Surface"
"25","fruit.bmp",3,0.37801,3,"Invalid"
"26","intro.bmp",2,0.44333,2,"Invalid"
"27","intro.bmp",8,0.72257,8,"Meaningful"
"28","intro.bmp",9,0.46158,9,"Surface"
"29","intro.bmp",2,0.21339,2,"Invalid"
"30","intro.bmp",7,0.13138,7,"Invalid"
"31","intro.bmp",5,0.58571,5,"Invalid"
"32","intro.bmp",6,0.06571,6,"Surface"
"33","intro.bmp",2,0.26279,2,"Invalid"
"34","intro.bmp",9,0.64028,9,"Invalid"
"35","intro.bmp",4,0.27906,4,"Invalid"
"36","intro.bmp",6,0.36192,6,"Surface"
"37","intro.bmp",7,0.11681,7,"Invalid"
"38","intro.bmp",6,0.19701,6,"Invalid"
"39","intro.bmp",4,0.24693,4,"Surface"
"40","intro.bmp",7,0.0482,7,"Meaningful"
"41","intro.bmp",9,0.13114,9,"Surface"
"42","intro.bmp",7,0.21375,7,"Surface"
"43","intro.bmp",9,0.29286,9,"Surface"
"44","intro.bmp",2,0.31199,2,"Invalid"
"45","intro.bmp",6,0.42471,6,"Invalid"
"46","intro.bmp",5,0.1964,5,"Surface"
"47","intro.bmp",3,0.19819,3,"Invalid"
"48","intro.bmp",9,0.50923,9,"Meaningful"
"49","intro.bmp",5,0.23006,5,"Invalid"
"50","intro.bmp",8,0.37777,8,"Meaningful"
"51","intro.bmp",4,0.23009,4,"Invalid"
"52","intro.bmp",7,0.31171,7,"Meaningful"
"53","intro.bmp",9,0.27911,9,"Surface"
"54","intro.bmp",6,0.24675,6,"Meaningful"
"55","intro.bmp",4,0.26298,4,"Surface"
"56","intro.bmp",2,0.19817,2,"Invalid"
"57","intro.bmp",3,0.37737,3,"Surface"
"58","intro.bmp",2,0.3286,2,"Surface"
"59","intro.bmp",8,0.4762,8,"Meaningful"
"60","intro.bmp",2,0.49362,2,"Meaningful"
"61","intro.bmp",3,0.2794,3,"Surface"
"62","intro.bmp",6,0.18064,6,"Meaningful"
"63","intro.bmp",4,0.19742,4,"Surface"
"64","intro.bmp",8,0.24567,8,"Invalid"
"65","intro.bmp",5,0.59158,5,"Meaningful"
"66","intro.bmp",6,0.26275,6,"Surface"
"67","intro.bmp",5,0.22966,5,"Surface"
"68","intro.bmp",2,0.27902,2,"Meaningful"
"69","intro.bmp",7,0.34413,7,"Invalid"
"70","intro.bmp",4,0.23005,4,"Meaningful"
"71","intro.bmp",2,0.24604,2,"Invalid"
"72","intro.bmp",5,0.21358,5,"Meaningful"
"73","intro.bmp",6,0.49091,6,"Surface"
"74","intro.bmp",3,0.26306,3,"Meaningful"
"75","intro.bmp",2,0.41035,2,"Surface"
"76","intro.bmp",6,0.31312,6,"Invalid"
"77","intro.bmp",9,0.45995,9,"Meaningful"
"78","intro.bmp",8,0.29569,8,"Surface"
"79","intro.bmp",3,0.59229,3,"Invalid"
"80","intro.bmp",7,0.39443,7,"Invalid"
"81","intro.bmp",8,0.29501,8,"Surface"
"82","intro.bmp",1,0.42709,1,"Invalid"
"83","intro.bmp",5,0.29538,5,"Invalid"
"84","intro.bmp",4,0.82019,4,"Surface"
"85","intro.bmp",1,0.77237,1,"Meaningful"
"86","intro.bmp",2,0.55885,2,"Surface"
"87","intro.bmp",3,0.57572,3,"Surface"
"88","intro.bmp",6,0.32866,6,"Meaningful"
"89","intro.bmp",3,0.26028,3,"Meaningful"
"90","intro.bmp",2,0.19693,2,"Surface"
"91","intro.bmp",9,0.21371,9,"Invalid"
"92","intro.bmp",6,0.62453,6,"Meaningful"
"93","intro.bmp",2,0.50938,2,"Invalid"
"94","intro.bmp",8,0.70654,8,"Meaningful"
"95","intro.bmp",6,0.3287,6,"Invalid"
"96","intro.bmp",5,0.22989,5,"Surface"
"97","intro.bmp",4,0.04942,4,"Surface"
"98","intro.bmp",7,0.54247,7,"Meaningful"
"99","intro.bmp",6,0.87096,6,"Invalid"
"100","0.bmp",2,0.39898,2,"Invalid"
"101","0.bmp",6,0.34496,6,"Invalid"
"102","0.bmp",2,0.29866,2,"Invalid"
"103","0.bmp",8,0.24625,8,"Surface"
"104","0.bmp",2,0.2298,2,"Surface"
"105","0.bmp",6,0.24619,6,"Invalid"
"106","0.bmp",2,0.75531,2,"Invalid"
"107","0.bmp",6,0.31186,6,"Invalid"
"108","0.bmp",2,2.29785,2,"Invalid"
"109","0.bmp",6,0.74057,6,"Invalid"
"110","0.bmp",8,0.31203,8,"Invalid"
"111","0.bmp",3,0.47641,3,"Invalid"
"112","0.bmp",6,0.64058,6,"Surface"
"113","0.bmp",9,0.37827,9,"Surface"
"114","0.bmp",2,0.26239,2,"Invalid"
"115","0.bmp",3,0.27928,3,"Meaningful"
"116","0.bmp",6,0.21117,6,"Surface"
"117","0.bmp",3,0.34569,3,"Surface"
"118","0.bmp",6,0.46022,6,"Surface"
"119","0.bmp",8,0.27968,8,"Invalid"
"120","0.bmp",9,0.21346,9,"Meaningful"
"121","0.bmp",3,0.13161,3,"Surface"
"122","0.bmp",8,0.11528,8,"Invalid"
"123","0.bmp",9,0.64098,9,"Meaningful"
"124","0.bmp",5,0.41063,5,"Invalid"
"125","0.bmp",8,0.41124,8,"Surface"
"126","0.bmp",2,0.21346,2,"Surface"
"127","0.bmp",8,0.19641,8,"Surface"
"128","0.bmp",9,0.22021,9,"Meaningful"
"129","0.bmp",5,0.50814,5,"Invalid"
"130","0.bmp",9,0.31285,9,"Invalid"
"131","0.bmp",2,0.65782,2,"Invalid"
"132","0.bmp",3,0.37685,3,"Meaningful"
"133","0.bmp",2,0.526,2,"Meaningful"
"134","0.bmp",1,0.24672,1,"Meaningful"
"135","0.bmp",4,0.31189,4,"Surface"
"136","0.bmp",6,1.01872,6,"Meaningful"
"137","0.bmp",5,0.31197,5,"Meaningful"
"138","0.bmp",2,0.21255,2,"Surface"
"139","0.bmp",3,0.21388,3,"Meaningful"
"140","0.bmp",2,0.30051,2,"Meaningful"
"141","0.bmp",1,0.23181,1,"Meaningful"
"142","0.bmp",2,0.21458,2,"Meaningful"
"143","0.bmp",1,1.10067,1,"Meaningful"
"144","0.bmp",2,0.24585,2,"Meaningful"
"145","0.bmp",3,0.77194,3,"Meaningful"
"146","0.bmp",6,0.22517,6,"Surface"
"147","0.bmp",2,0.39305,2,"Invalid"
