"","slide","initialAOI","fixationTime","correctedAOI","Transition"
"1","fruit.bmp",4,1.0352,4,"Invalid"
"2","fruit.bmp",1,0.34437,1,"Meaningful"
"3","fruit.bmp",4,0.41295,4,"Meaningful"
"4","fruit.bmp",7,0.26318,7,"Meaningful"
"5","fruit.bmp",3,0.23028,3,"Invalid"
"6","fruit.bmp",6,0.93293,6,"Meaningful"
"7","fruit.bmp",4,0.19684,4,"Surface"
"8","fruit.bmp",1,0.32845,1,"Meaningful"
"9","fruit.bmp",2,0.27946,2,"Surface"
"10","fruit.bmp",3,0.21465,3,"Surface"
"11","fruit.bmp",1,0.21409,1,"Surface"
"12","fruit.bmp",4,0.6906,4,"Meaningful"
"13","fruit.bmp",8,0.30997,8,"Invalid"
"14","fruit.bmp",7,0.26288,7,"Surface"
"15","fruit.bmp",1,0.21415,1,"Meaningful"
"16","fruit.bmp",5,0.45797,5,"Invalid"
"17","fruit.bmp",4,0.73858,4,"Surface"
"18","fruit.bmp",9,0.34734,9,"Invalid"
"19","fruit.bmp",4,0.4263,4,"Invalid"
"20","fruit.bmp",1,1.92174,1,"Meaningful"
"21","fruit.bmp",7,0.75692,7,"Meaningful"
"22","fruit.bmp",9,2.0371,9,"Surface"
"23","intro.bmp",4,1.67801,4,"Invalid"
"24","intro.bmp",1,0.29554,1,"Meaningful"
"25","intro.bmp",9,1.3305,9,"Invalid"
"26","intro.bmp",1,0.31187,1,"Invalid"
"27","intro.bmp",7,1.08343,7,"Meaningful"
"28","intro.bmp",3,0.19794,3,"Invalid"
"29","intro.bmp",7,0.6571,7,"Invalid"
"30","intro.bmp",1,0.93501,1,"Meaningful"
"31","intro.bmp",7,1.23206,7,"Meaningful"
"32","intro.bmp",5,0.64202,5,"Invalid"
"33","intro.bmp",9,0.24638,9,"Invalid"
"34","intro.bmp",1,0.22852,1,"Invalid"
"35","intro.bmp",7,0.37527,7,"Meaningful"
"36","intro.bmp",4,0.36195,4,"Meaningful"
"37","intro.bmp",5,0.26316,5,"Surface"
"38","intro.bmp",2,0.41125,2,"Meaningful"
"39","intro.bmp",1,0.24681,1,"Surface"
"40","intro.bmp",2,0.21377,2,"Surface"
"41","intro.bmp",1,0.32841,1,"Surface"
"42","intro.bmp",2,0.26218,2,"Surface"
"43","intro.bmp",3,0.26257,3,"Surface"
"44","intro.bmp",4,0.1972,4,"Invalid"
"45","intro.bmp",7,0.19881,7,"Meaningful"
"46","intro.bmp",8,0.27988,8,"Surface"
"47","intro.bmp",7,1.03477,7,"Surface"
"48","intro.bmp",1,0.68895,1,"Meaningful"
"49","intro.bmp",2,0.21354,2,"Surface"
"50","intro.bmp",3,0.21684,3,"Surface"
"51","intro.bmp",6,0.24689,6,"Meaningful"
"52","intro.bmp",8,0.26387,8,"Invalid"
"53","intro.bmp",7,0.39299,7,"Surface"
"54","intro.bmp",5,0.31372,5,"Invalid"
"55","intro.bmp",2,0.27921,2,"Meaningful"
"56","intro.bmp",4,0.21355,4,"Invalid"
"57","intro.bmp",9,0.19696,9,"Invalid"
"58","intro.bmp",8,0.22997,8,"Surface"
"59","intro.bmp",6,0.2135,6,"Invalid"
