"","slide","initialAOI","fixationTime","correctedAOI","Transition"
"1","fruit.bmp",2,0.09936,2,"Invalid"
"2","fruit.bmp",1,0.60873,1,"Surface"
"3","fruit.bmp",5,0.42674,5,"Invalid"
"4","fruit.bmp",3,0.54206,3,"Invalid"
"5","fruit.bmp",2,1.28011,2,"Surface"
"6","fruit.bmp",5,0.21268,5,"Meaningful"
"7","fruit.bmp",6,0.27898,6,"Surface"
"8","fruit.bmp",9,0.46057,9,"Meaningful"
"9","fruit.bmp",6,0.14519,6,"Meaningful"
"10","fruit.bmp",2,0.24714,2,"Invalid"
"11","fruit.bmp",6,0.26286,6,"Invalid"
"12","fruit.bmp",4,0.29908,4,"Surface"
"13","fruit.bmp",2,0.32725,2,"Invalid"
"14","fruit.bmp",7,0.2459,7,"Invalid"
"15","fruit.bmp",9,1.54478,9,"Surface"
"16","fruit.bmp",4,0.68991,4,"Invalid"
"17","intro.bmp",2,0.23009,2,"Invalid"
"18","intro.bmp",8,0.67213,8,"Meaningful"
"19","intro.bmp",6,0.23048,6,"Invalid"
"20","intro.bmp",8,0.19716,8,"Invalid"
"21","intro.bmp",6,0.21336,6,"Invalid"
"22","intro.bmp",9,0.19727,9,"Meaningful"
"23","intro.bmp",6,0.19643,6,"Meaningful"
"24","intro.bmp",5,0.26241,5,"Surface"
"25","intro.bmp",2,0.27901,2,"Meaningful"
"26","intro.bmp",3,0.37858,3,"Surface"
"27","intro.bmp",6,0.2636,6,"Meaningful"
"28","intro.bmp",2,0.96944,2,"Invalid"
"29","intro.bmp",1,0.42689,1,"Surface"
"30","intro.bmp",7,0.14774,7,"Meaningful"
"31","intro.bmp",3,0.57482,3,"Invalid"
"32","intro.bmp",5,0.46441,5,"Invalid"
"33","intro.bmp",9,0.77184,9,"Invalid"
"34","intro.bmp",8,0.19759,8,"Surface"
"35","intro.bmp",5,0.23042,5,"Meaningful"
"36","intro.bmp",8,0.72278,8,"Meaningful"
"37","intro.bmp",5,0.77292,5,"Meaningful"
"38","intro.bmp",4,0.8541,4,"Surface"
"39","intro.bmp",6,0.37786,6,"Surface"
"40","intro.bmp",1,0.24953,1,"Invalid"
"41","intro.bmp",7,0.47685,7,"Meaningful"
"42","intro.bmp",1,0.21397,1,"Meaningful"
"43","intro.bmp",2,0.1803,2,"Surface"
