"","slide","initialAOI","fixationTime","correctedAOI","Transition"
"1","fruit.bmp",7,0.24618,7,"Invalid"
"2","fruit.bmp",6,0.27948,6,"Invalid"
"3","fruit.bmp",4,1.51092,4,"Surface"
"4","fruit.bmp",1,0.67457,1,"Meaningful"
"5","fruit.bmp",7,0.70689,7,"Meaningful"
"6","intro.bmp",1,1.18097,1,"Invalid"
"7","intro.bmp",2,2.28392,2,"Surface"
"8","intro.bmp",1,0.92084,1,"Surface"
"9","intro.bmp",5,0.06602,5,"Invalid"
"10","intro.bmp",8,1.49537,8,"Meaningful"
"11","intro.bmp",4,1.06774,4,"Invalid"
"12","intro.bmp",1,0.55905,1,"Meaningful"
"13","intro.bmp",2,0.24657,2,"Surface"
"14","intro.bmp",6,0.2132,6,"Invalid"
"15","intro.bmp",8,0.24625,8,"Invalid"
"16","intro.bmp",4,0.36155,4,"Invalid"
"17","intro.bmp",7,0.36146,7,"Meaningful"
"18","intro.bmp",4,0.22999,4,"Meaningful"
"19","intro.bmp",1,0.78361,1,"Meaningful"
"20","intro.bmp",2,0.64361,2,"Surface"
"21","intro.bmp",9,0.31454,9,"Invalid"
"22","intro.bmp",8,0.49326,8,"Surface"
"23","0.bmp",6,0.92043,6,"Invalid"
"24","0.bmp",3,0.27905,3,"Surface"
"25","0.bmp",1,0.9047,1,"Meaningful"
"26","0.bmp",7,0.27889,7,"Surface"
"27","0.bmp",5,0.24642,5,"Invalid"
"28","0.bmp",1,0.24702,1,"Invalid"
"29","0.bmp",5,0.44353,5,"Invalid"
"30","0.bmp",3,0.27917,3,"Invalid"
"31","0.bmp",8,0.45946,8,"Invalid"
"32","0.bmp",4,1.1663,4,"Invalid"
"33","0.bmp",2,0.11514,2,"Invalid"
"34","0.bmp",6,0.19729,6,"Invalid"
"35","0.bmp",8,0.21331,8,"Invalid"
"36","0.bmp",4,0.24816,4,"Invalid"
"37","0.bmp",2,0.2942,2,"Invalid"
"38","0.bmp",1,0.26261,1,"Meaningful"
"39","0.bmp",2,1.36328,2,"Meaningful"
"40","0.bmp",1,0.9033,1,"Meaningful"
"41","0.bmp",2,0.26268,2,"Meaningful"
"42","0.bmp",4,0.75548,4,"Invalid"
"43","0.bmp",2,0.59106,2,"Invalid"
"44","0.bmp",1,0.75607,1,"Meaningful"
"45","0.bmp",6,0.24707,6,"Invalid"
"46","0.bmp",3,0.26296,3,"Surface"
"47","0.bmp",4,0.22964,4,"Invalid"
"48","0.bmp",2,0.21036,2,"Invalid"
"49","0.bmp",4,0.38007,4,"Invalid"
"50","0.bmp",9,0.411,9,"Invalid"
"51","0.bmp",5,0.24949,5,"Invalid"
"52","0.bmp",2,0.51,2,"Surface"
"53","0.bmp",1,0.31049,1,"Meaningful"
"54","0.bmp",9,0.21253,9,"Invalid"
"55","0.bmp",5,0.60861,5,"Invalid"
"56","0.bmp",8,0.36117,8,"Surface"
"57","0.bmp",2,0.23022,2,"Surface"
"58","0.bmp",6,1.66172,6,"Invalid"
"59","0.bmp",4,0.29565,4,"Meaningful"
"60","0.bmp",5,0.19774,5,"Meaningful"
"61","0.bmp",6,0.92083,6,"Meaningful"
"62","1.bmp",8,0.26302,9,"Invalid"
"63","1.bmp",5,0.47588,5,"Invalid"
"64","1.bmp",2,0.3455,6,"Meaningful"
"65","1.bmp",1,0.18111,8,"Invalid"
"66","1.bmp",3,0.21394,2,"Surface"
"67","1.bmp",4,0.36147,1,"Meaningful"
"68","1.bmp",1,0.23016,8,"Invalid"
"69","1.bmp",4,0.39454,1,"Invalid"
"70","1.bmp",7,0.31423,7,"Surface"
"71","1.bmp",8,0.31209,9,"Meaningful"
"72","1.bmp",2,0.32841,6,"Surface"
"73","1.bmp",5,0.27927,5,"Meaningful"
"74","1.bmp",9,0.31123,4,"Meaningful"
"75","1.bmp",1,0.23,8,"Invalid"
"76","1.bmp",2,0.26285,6,"Invalid"
"77","1.bmp",8,0.23001,9,"Surface"
"78","1.bmp",6,0.26329,3,"Surface"
"79","1.bmp",1,0.21695,8,"Invalid"
"80","1.bmp",4,0.29564,1,"Invalid"
"81","1.bmp",2,0.39406,6,"Invalid"
"82","1.bmp",4,0.22762,1,"Invalid"
"83","1.bmp",5,1.05153,5,"Invalid"
"84","1.bmp",1,0.32874,8,"Surface"
"85","1.bmp",6,0.42751,3,"Invalid"
"86","1.bmp",9,0.60709,4,"Invalid"
"87","1.bmp",1,0.24626,8,"Invalid"
"88","2.bmp",7,0.14795,4,"Invalid"
"89","2.bmp",5,0.2299,3,"Invalid"
"90","2.bmp",2,0.49402,7,"Invalid"
"91","2.bmp",5,0.45984,3,"Invalid"
"92","2.bmp",3,0.4767,9,"Surface"
"93","2.bmp",5,0.37868,3,"Surface"
"94","2.bmp",8,0.2795,2,"Meaningful"
"95","2.bmp",7,0.36058,4,"Invalid"
"96","2.bmp",8,0.57531,2,"Invalid"
"97","2.bmp",1,0.63913,6,"Invalid"
"98","2.bmp",3,0.27966,9,"Surface"
