"","slide","initialAOI","fixationTime","correctedAOI","Transition"
"1","fruit.bmp",2,0.21363,2,"Invalid"
"2","fruit.bmp",1,0.73981,1,"Surface"
"3","fruit.bmp",3,0.64215,3,"Surface"
"4","fruit.bmp",6,0.27956,6,"Meaningful"
"5","fruit.bmp",1,0.83857,1,"Invalid"
"6","fruit.bmp",2,0.24529,2,"Surface"
"7","fruit.bmp",1,0.62721,1,"Surface"
"8","fruit.bmp",7,0.72211,7,"Meaningful"
"9","fruit.bmp",9,0.78855,9,"Surface"
"10","fruit.bmp",6,0.29607,6,"Meaningful"
"11","intro.bmp",3,0.47627,3,"Invalid"
"12","intro.bmp",1,0.24608,1,"Surface"
"13","intro.bmp",8,0.2145,8,"Invalid"
"14","intro.bmp",6,0.45982,6,"Invalid"
"15","intro.bmp",5,0.2809,5,"Surface"
"16","intro.bmp",8,0.24644,8,"Meaningful"
"17","intro.bmp",6,0.24656,6,"Invalid"
"18","intro.bmp",9,0.19739,9,"Meaningful"
"19","intro.bmp",5,0.14777,5,"Invalid"
"20","intro.bmp",4,0.21371,4,"Surface"
"21","intro.bmp",3,0.59162,3,"Invalid"
"22","intro.bmp",2,0.52577,2,"Surface"
"23","intro.bmp",1,0.04885,1,"Surface"
"24","intro.bmp",5,0.44555,5,"Invalid"
"25","intro.bmp",1,0.5924,1,"Invalid"
"26","intro.bmp",2,0.23017,2,"Surface"
"27","intro.bmp",3,0.26285,3,"Surface"
"28","intro.bmp",6,0.2829,6,"Meaningful"
"29","intro.bmp",9,0.24654,9,"Meaningful"
"30","intro.bmp",8,0.24422,8,"Surface"
"31","intro.bmp",7,0.19682,7,"Surface"
"32","intro.bmp",1,0.21346,1,"Meaningful"
"33","intro.bmp",2,0.24663,2,"Surface"
"34","intro.bmp",1,0.23003,1,"Surface"
"35","intro.bmp",5,0.21186,5,"Invalid"
"36","intro.bmp",7,0.23023,7,"Invalid"
"37","intro.bmp",4,0.22961,4,"Meaningful"
"38","intro.bmp",2,0.19622,2,"Invalid"
"39","intro.bmp",6,0.2457,6,"Invalid"
"40","intro.bmp",4,0.24643,4,"Surface"
"41","intro.bmp",9,0.19727,9,"Invalid"
"42","intro.bmp",3,0.44264,3,"Meaningful"
"43","intro.bmp",4,0.29633,4,"Invalid"
"44","intro.bmp",5,0.26252,5,"Surface"
"45","intro.bmp",1,0.23158,1,"Invalid"
"46","intro.bmp",5,0.4269,5,"Invalid"
"47","0.bmp",1,0.21357,1,"Invalid"
"48","0.bmp",7,0.26292,7,"Surface"
