"","slide","initialAOI","fixationTime","correctedAOI"
"1","fruit.bmp",0,0.20142,0
"2","fruit.bmp",0,0.24565,0
"3","fruit.bmp",2,0.21023,2
"4","fruit.bmp",8,0.23046,8
"5","fruit.bmp",4,0.24574,4
"6","fruit.bmp",0,0.23131,0
"7","fruit.bmp",0,0.64165,0
"8","fruit.bmp",0,0.0821,0
"9","fruit.bmp",7,0.34487,7
"10","fruit.bmp",10,0.34509,10
"11","fruit.bmp",10,1.88889,10
"12","fruit.bmp",8,0.42704,8
"13","fruit.bmp",2,0.19558,2
"14","fruit.bmp",1,0.32854,1
"15","fruit.bmp",2,0.27916,2
"16","fruit.bmp",3,0.26262,3
"17","fruit.bmp",6,0.21319,6
"18","fruit.bmp",4,0.21281,4
"19","fruit.bmp",6,0.29535,6
"20","fruit.bmp",9,0.27961,9
"21","fruit.bmp",8,0.27946,8
"22","fruit.bmp",6,0.22976,6
"23","fruit.bmp",2,0.22984,2
"24","fruit.bmp",8,0.19729,8
"25","fruit.bmp",9,0.30066,9
"26","fruit.bmp",5,0.21334,5
"27","fruit.bmp",2,0.21255,2
"28","fruit.bmp",2,0.49287,2
"29","fruit.bmp",4,0.37778,4
"30","fruit.bmp",5,0.2955,5
"31","fruit.bmp",0,1.02743,0
"32","fruit.bmp",2,0.31221,2
"33","fruit.bmp",4,0.2625,4
"34","fruit.bmp",5,0.31219,5
"35","fruit.bmp",8,0.27864,8
"36","fruit.bmp",2,0.21395,2
"37","fruit.bmp",1,0.47637,1
"38","fruit.bmp",4,0.31251,4
"39","fruit.bmp",5,0.21388,5
"40","intro.bmp",8,0.36116,8
"41","intro.bmp",9,0.26136,9
"42","intro.bmp",6,0.37685,6
"43","0.bmp",4,0.2465,4
"44","0.bmp",5,0.27648,5
"45","0.bmp",9,0.22245,9
"46","0.bmp",8,0.35971,8
"47","0.bmp",2,0.19777,2
"48","0.bmp",3,0.24839,3
"49","0.bmp",6,0.39534,6
"50","0.bmp",6,0.27923,6
"51","0.bmp",2,0.21352,2
"52","0.bmp",8,0.24597,8
"53","0.bmp",5,0.23006,5
"54","0.bmp",7,0.21357,7
"55","0.bmp",1,0.19758,1
"56","0.bmp",3,0.39436,3
"57","0.bmp",6,0.31217,6
