"","slide","initialAOI","fixationTime","correctedAOI"
"1","fruit.bmp",1,0.06593,1
"2","fruit.bmp",2,0.23002,2
"3","fruit.bmp",3,0.26243,3
"4","fruit.bmp",5,0.3778,5
"5","fruit.bmp",4,0.24644,4
"6","fruit.bmp",4,0.34496,4
"7","fruit.bmp",1,0.22994,1
"8","fruit.bmp",1,0.49183,1
"9","fruit.bmp",6,0.31218,6
"10","fruit.bmp",6,0.39424,6
"11","fruit.bmp",5,0.24632,5
"12","fruit.bmp",6,0.2301,6
"13","fruit.bmp",8,0.19795,8
"14","fruit.bmp",7,0.29569,7
"15","fruit.bmp",7,0.65702,7
"16","intro.bmp",10,0.21299,10
"17","intro.bmp",0,0.68995,0
"18","intro.bmp",7,0.17856,7
"19","intro.bmp",5,0.21336,5
"20","intro.bmp",0,0.3618,0
"21","intro.bmp",6,0.42706,6
"22","intro.bmp",10,0.24633,10
"23","intro.bmp",0,0.46112,0
"24","intro.bmp",10,1.06469,10
"25","intro.bmp",0,0.23076,0
"26","intro.bmp",8,0.23007,8
"27","intro.bmp",4,0.32867,4
"28","intro.bmp",5,0.42687,5
"29","intro.bmp",5,0.22998,5
"30","intro.bmp",1,0.27913,1
"31","intro.bmp",7,0.55885,7
"32","intro.bmp",7,0.45982,7
"33","intro.bmp",6,0.19733,6
"34","intro.bmp",2,0.32861,2
"35","intro.bmp",5,0.24672,5
"36","intro.bmp",5,0.26303,5
"37","intro.bmp",10,0.26014,10
"38","intro.bmp",9,0.2958,9
"39","intro.bmp",10,0.32823,10
"40","intro.bmp",0,0.21347,0
"41","intro.bmp",1,0.19703,1
"42","intro.bmp",0,0.22971,0
"43","intro.bmp",0,0.39417,0
"44","intro.bmp",2,0.09804,2
"45","intro.bmp",0,0.55833,0
"46","intro.bmp",0,0.23011,0
"47","intro.bmp",0,0.32767,0
"48","intro.bmp",0,0.36124,0
"49","intro.bmp",10,0.26415,10
"50","intro.bmp",1,0.21408,1
"51","intro.bmp",1,0.22986,1
"52","intro.bmp",2,0.34577,2
"53","intro.bmp",3,0.32841,3
"54","intro.bmp",6,0.3287,6
"55","intro.bmp",4,0.21535,4
"56","intro.bmp",7,0.36189,7
"57","intro.bmp",7,0.27903,7
"58","intro.bmp",8,0.23004,8
"59","intro.bmp",9,0.27828,9
"60","intro.bmp",8,0.24624,8
"61","intro.bmp",6,0.1152,6
"62","intro.bmp",3,0.21114,3
"63","intro.bmp",2,0.23296,2
"64","intro.bmp",8,0.24563,8
"65","intro.bmp",5,0.27934,5
"66","intro.bmp",6,0.28054,6
"67","intro.bmp",9,0.21358,9
"68","intro.bmp",2,0.24681,2
"69","intro.bmp",3,0.26403,3
"70","intro.bmp",6,0.29585,6
"71","intro.bmp",8,0.21361,8
"72","intro.bmp",4,0.21405,4
"73","intro.bmp",6,0.24178,6
"74","intro.bmp",3,0.24633,3
"75","intro.bmp",4,0.32886,4
"76","intro.bmp",1,0.21265,1
"77","intro.bmp",7,0.19698,7
"78","intro.bmp",8,0.34486,8
"79","intro.bmp",9,0.24625,9
"80","intro.bmp",1,0.23017,1
"81","intro.bmp",2,0.24727,2
"82","intro.bmp",6,0.34512,6
"83","intro.bmp",6,0.27933,6
"84","intro.bmp",6,0.24664,6
"85","intro.bmp",3,0.26302,3
"86","intro.bmp",4,0.36127,4
"87","intro.bmp",8,0.23006,8
"88","intro.bmp",9,0.19221,9
"89","intro.bmp",2,0.24642,2
"90","intro.bmp",1,0.21381,1
"91","intro.bmp",1,0.43282,1
"92","intro.bmp",4,0.21353,4
"93","intro.bmp",4,0.29539,4
"94","intro.bmp",9,0.27902,9
"95","intro.bmp",1,0.34425,1
"96","intro.bmp",1,0.27886,1
"97","intro.bmp",4,0.37772,4
"98","intro.bmp",9,0.39433,9
"99","intro.bmp",8,0.39428,8
"100","intro.bmp",7,0.27929,7
"101","intro.bmp",9,0.21214,9
"102","intro.bmp",7,0.19753,7
"103","0.bmp",7,0.26269,7
"104","0.bmp",9,0.32784,9
"105","0.bmp",0,0.27971,0
"106","0.bmp",7,0.46019,7
"107","0.bmp",9,0.5095,9
"108","0.bmp",10,0.24598,10
"109","0.bmp",4,0.19752,4
"110","0.bmp",9,0.29572,9
"111","0.bmp",0,0.24606,0
"112","0.bmp",1,0.18081,1
"113","0.bmp",1,0.31134,1
"114","0.bmp",2,0.26314,2
"115","0.bmp",2,0.23,2
"116","0.bmp",2,0.24647,2
"117","0.bmp",3,0.21322,3
"118","0.bmp",0,0.41072,0
"119","0.bmp",6,0.39408,6
"120","0.bmp",6,0.13136,6
"121","0.bmp",2,0.19559,2
"122","0.bmp",3,0.23025,3
"123","0.bmp",2,0.29573,2
"124","0.bmp",0,0.27927,0
"125","0.bmp",5,0.41217,5
"126","0.bmp",2,0.27962,2
"127","0.bmp",2,0.21353,2
"128","0.bmp",1,0.37762,1
"129","0.bmp",1,0.37839,1
"130","0.bmp",1,0.75681,1
"131","0.bmp",4,0.3778,4
"132","0.bmp",1,0.40918,1
"133","0.bmp",1,0.60792,1
"134","0.bmp",1,0.47749,1
"135","0.bmp",1,0.21408,1
"136","0.bmp",1,0.39461,1
"137","0.bmp",1,0.31215,1
"138","0.bmp",4,0.04951,4
"139","0.bmp",1,0.80499,1
"140","0.bmp",2,0.27906,2
"141","0.bmp",1,0.31224,1
"142","0.bmp",1,0.64105,1
"143","0.bmp",1,0.64071,1
"144","0.bmp",0,0.59088,0
"145","0.bmp",0,0.27843,0
"146","0.bmp",9,0.27912,9
"147","0.bmp",8,0.23021,8
"148","0.bmp",8,0.64095,8
"149","0.bmp",5,0.43077,5
"150","0.bmp",2,0.39513,2
"151","0.bmp",0,0.37743,0
"152","0.bmp",8,0.2795,8
"153","0.bmp",8,0.39456,8
"154","0.bmp",9,0.26204,9
"155","0.bmp",8,0.29568,8
"156","0.bmp",4,0.21891,4
"157","0.bmp",7,0.27934,7
"158","0.bmp",4,0.32866,4
"159","0.bmp",1,0.32837,1
"160","0.bmp",3,0.49266,3
"161","0.bmp",3,0.27904,3
"162","0.bmp",0,0.47624,0
"163","0.bmp",2,0.26049,2
"164","0.bmp",10,0.33481,10
"165","0.bmp",0,0.19728,0
"166","0.bmp",8,0.21334,8
"167","0.bmp",7,0.21373,7
"168","0.bmp",5,0.29559,5
"169","0.bmp",2,0.24653,2
"170","0.bmp",0,0.32887,0
"171","0.bmp",8,0.19749,8
"172","0.bmp",10,0.47561,10
"173","0.bmp",10,0.77213,10
"174","0.bmp",5,0.4436,5
"175","0.bmp",2,0.2717,2
"176","0.bmp",0,0.26341,0
"177","0.bmp",1,0.21638,1
"178","0.bmp",0,0.34461,0
"179","0.bmp",0,0.49242,0
"180","0.bmp",3,0.50713,3
"181","0.bmp",3,0.21332,3
"182","0.bmp",5,0.54278,5
"183","0.bmp",4,0.34486,4
"184","0.bmp",7,0.26324,7
"185","0.bmp",9,0.72292,9
"186","0.bmp",8,0.37651,8
"187","0.bmp",4,0.3131,4
"188","0.bmp",1,0.26297,1
"189","0.bmp",2,0.22997,2
"190","0.bmp",3,0.55869,3
"191","0.bmp",6,0.44344,6
"192","0.bmp",3,0.21407,3
"193","0.bmp",4,0.35921,4
"194","0.bmp",6,0.42693,6
"195","0.bmp",3,0.31234,3
"196","0.bmp",3,0.42679,3
"197","0.bmp",6,0.21372,6
"198","1.bmp",6,1.20023,4
"199","1.bmp",9,0.37752,6
"200","1.bmp",5,0.26282,3
"201","1.bmp",0,0.34505,0
"202","1.bmp",2,0.21391,8
"203","1.bmp",1,0.34454,5
"204","1.bmp",3,0.39415,2
"205","1.bmp",9,0.34495,6
"206","1.bmp",3,0.30055,2
"207","1.bmp",6,0.49581,4
"208","1.bmp",3,0.22995,2
"209","1.bmp",3,0.44409,2
"210","1.bmp",3,0.657,2
"211","1.bmp",0,0.40871,0
"212","1.bmp",0,0.32875,0
"213","1.bmp",6,0.75549,4
"214","1.bmp",9,0.20216,6
"215","1.bmp",0,0.37804,0
"216","1.bmp",8,0.27892,9
"217","1.bmp",0,0.6066,0
"218","1.bmp",5,0.04944,3
"219","1.bmp",4,0.23003,1
"220","1.bmp",7,0.22981,7
"221","1.bmp",2,0.06561,8
"222","1.bmp",8,0.4269,9
"223","1.bmp",8,0.31215,9
"224","1.bmp",10,0.44376,10
"225","1.bmp",2,0.60802,8
"226","1.bmp",2,0.23024,8
"227","1.bmp",3,0.50923,2
"228","1.bmp",1,0.27898,5
"229","1.bmp",4,0.3118,1
"230","1.bmp",4,0.32877,1
"231","1.bmp",9,0.26169,6
"232","1.bmp",3,0.19733,2
"233","1.bmp",8,0.60854,9
"234","1.bmp",9,0.22957,6
"235","1.bmp",8,0.24623,9
"236","1.bmp",7,0.23444,7
"237","1.bmp",7,0.4437,7
"238","1.bmp",8,0.13315,9
"239","1.bmp",7,0.47678,7
"240","1.bmp",8,0.21339,9
"241","1.bmp",4,0.19734,1
"242","1.bmp",2,0.21378,8
"243","1.bmp",1,0.65735,5
"244","1.bmp",3,0.22987,2
"245","1.bmp",3,0.41086,2
"246","1.bmp",6,0.57513,4
"247","1.bmp",5,0.21335,3
"248","1.bmp",4,0.28256,1
"249","1.bmp",4,0.32948,1
"250","1.bmp",5,0.32884,3
"251","1.bmp",5,0.34521,3
"252","1.bmp",4,0.22368,1
"253","1.bmp",2,0.37883,8
"254","1.bmp",6,0.44151,4
"255","1.bmp",9,0.24707,6
"256","1.bmp",6,0.24658,4
"257","1.bmp",3,0.34488,2
"258","1.bmp",9,0.31184,6
"259","1.bmp",6,0.2766,4
"260","1.bmp",9,0.70648,6
"261","1.bmp",3,0.26337,2
"262","1.bmp",3,0.50897,2
"263","1.bmp",2,0.36501,8
"264","1.bmp",1,0.26248,5
"265","1.bmp",1,1.08502,5
"266","2.bmp",0,0.44368,0
"267","2.bmp",5,0.21353,9
"268","2.bmp",6,0.21423,8
"269","2.bmp",3,0.27982,5
"270","2.bmp",0,0.19687,0
"271","2.bmp",8,0.22887,1
"272","2.bmp",8,0.31203,1
"273","2.bmp",5,0.2291,9
"274","2.bmp",0,0.18182,0
"275","2.bmp",2,0.26262,4
"276","2.bmp",1,0.31194,3
"277","2.bmp",4,0.29544,2
"278","2.bmp",2,0.24649,4
"279","2.bmp",0,0.42497,0
"280","2.bmp",0,0.23015,0
"281","2.bmp",0,0.392,0
"282","2.bmp",1,0.55844,3
"283","2.bmp",2,0.36049,4
"284","2.bmp",1,0.41115,3
"285","2.bmp",5,0.55469,9
"286","2.bmp",2,0.19754,4
"287","2.bmp",2,0.44351,4
"288","2.bmp",6,0.4408,8
"289","2.bmp",1,0.21443,3
"290","2.bmp",2,0.24654,4
"291","2.bmp",7,0.19711,6
"292","2.bmp",3,0.16446,5
"293","2.bmp",3,0.50906,5
"294","2.bmp",2,0.27975,4
"295","2.bmp",2,0.36142,4
"296","2.bmp",5,0.27919,9
"297","2.bmp",8,0.29553,1
"298","2.bmp",5,0.41077,9
"299","2.bmp",2,0.30959,4
"300","2.bmp",2,0.22948,4
"301","2.bmp",1,0.42752,3
"302","2.bmp",3,0.24681,5
"303","2.bmp",3,0.64445,5
"304","2.bmp",6,0.08195,8
"305","2.bmp",6,0.13109,8
"306","2.bmp",9,0.21341,7
"307","2.bmp",6,0.24593,8
"308","2.bmp",3,0.24776,5
"309","2.bmp",2,0.27927,4
"310","2.bmp",2,0.34721,4
"311","2.bmp",1,0.19743,3
"312","2.bmp",2,0.70645,4
"313","2.bmp",2,0.70641,4
"314","2.bmp",3,0.37857,5
"315","2.bmp",3,0.46074,5
"316","2.bmp",6,0.26344,8
"317","2.bmp",0,0.31244,0
"318","2.bmp",1,0.21341,3
"319","2.bmp",2,0.39441,4
"320","2.bmp",5,0.27924,9
"321","2.bmp",9,0.19653,7
"322","2.bmp",6,0.29488,8
"323","2.bmp",3,0.19797,5
"324","2.bmp",2,0.26245,4
"325","2.bmp",2,0.50864,4
"326","2.bmp",0,0.19797,0
"327","2.bmp",10,0.21338,10
"328","2.bmp",9,0.22995,7
"329","2.bmp",10,0.19823,10
"330","2.bmp",8,0.96933,1
"331","2.bmp",6,0.49706,8
"332","2.bmp",9,0.21382,7
"333","2.bmp",0,0.24684,0
"334","2.bmp",3,0.7392,5
"335","2.bmp",3,0.32852,5
"336","2.bmp",2,0.45958,4
"337","2.bmp",0,0.21156,0
"338","2.bmp",1,0.31303,3
"339","2.bmp",0,0.4769,0
"340","2.bmp",2,0.43279,4
"341","2.bmp",0,0.24628,0
"342","2.bmp",2,0.42708,4
"343","2.bmp",2,0.34521,4
"344","2.bmp",5,0.22993,9
"345","2.bmp",3,0.04964,5
"346","2.bmp",3,0.50838,5
"347","2.bmp",4,0.44386,2
"348","2.bmp",4,0.45995,2
"349","2.bmp",5,0.29536,9
"350","2.bmp",5,0.4763,9
"351","2.bmp",6,0.21379,8
"352","2.bmp",8,0.1826,1
"353","2.bmp",8,0.55891,1
"354","2.bmp",9,0.16583,7
"355","2.bmp",9,0.47647,7
"356","2.bmp",9,0.87067,7
"357","2.bmp",9,0.41061,7
"358","2.bmp",6,0.83791,8
"359","2.bmp",6,0.31238,8
"360","2.bmp",3,0.757,5
"361","2.bmp",3,0.39455,5
"362","2.bmp",3,0.41037,5
"363","2.bmp",3,0.39384,5
"364","2.bmp",3,0.29561,5
"365","2.bmp",3,0.52553,5
"366","2.bmp",3,0.47513,5
"367","2.bmp",2,0.22922,4
"368","2.bmp",5,0.3454,9
"369","2.bmp",5,0.64069,9
"370","2.bmp",5,0.29758,9
"371","2.bmp",8,0.73816,1
"372","2.bmp",7,1.38026,6
"373","2.bmp",7,0.64063,6
"374","2.bmp",4,0.3485,2
"375","2.bmp",4,0.83768,2
"376","2.bmp",4,0.37881,2
"377","2.bmp",5,0.24666,9
"378","2.bmp",1,0.21373,3
"379","2.bmp",1,0.59036,3
"380","2.bmp",4,0.14774,2
"381","2.bmp",3,0.93608,5
"382","2.bmp",3,0.39441,5
"383","2.bmp",6,0.23047,8
"384","2.bmp",6,0.40831,8
"385","2.bmp",6,0.04863,8
"386","2.bmp",6,0.42789,8
"387","2.bmp",5,0.34442,9
"388","2.bmp",7,0.31126,6
"389","2.bmp",5,0.47627,9
"390","2.bmp",5,0.41125,9
"391","2.bmp",6,0.21419,8
"392","2.bmp",6,0.5759,8
"393","2.bmp",6,0.23074,8
"394","2.bmp",5,0.2475,9
"395","2.bmp",5,0.41054,9
"396","2.bmp",3,0.22989,5
"397","2.bmp",2,0.31227,4
"398","2.bmp",9,0.21213,7
"399","2.bmp",9,0.31189,7
"400","2.bmp",0,0.27943,0
"401","2.bmp",6,0.70599,8
"402","3.bmp",5,0.49323,9
"403","3.bmp",5,0.29561,9
"404","3.bmp",5,0.59225,9
"405","3.bmp",8,0.21326,5
"406","3.bmp",8,0.36137,5
"407","3.bmp",9,0.23053,1
"408","3.bmp",6,0.06554,3
"409","3.bmp",5,0.55843,9
"410","3.bmp",6,0.64066,3
"411","3.bmp",9,0.36879,1
"412","3.bmp",6,0.41057,3
"413","3.bmp",0,0.2455,0
"414","3.bmp",6,0.31078,3
"415","3.bmp",6,0.26187,3
"416","3.bmp",8,0.214,5
"417","3.bmp",5,0.2962,9
"418","3.bmp",5,0.29553,9
"419","3.bmp",5,0.64088,9
"420","3.bmp",0,0.57568,0
"421","3.bmp",2,0.26302,6
"422","3.bmp",2,0.36111,6
"423","3.bmp",2,0.39407,6
"424","3.bmp",9,0.49329,1
"425","3.bmp",5,0.19679,9
"426","3.bmp",5,0.54205,9
"427","3.bmp",2,0.32874,6
"428","3.bmp",5,0.3779,9
"429","3.bmp",0,0.06659,0
"430","3.bmp",6,0.08293,3
"431","3.bmp",6,0.44377,3
"432","3.bmp",6,0.44278,3
"433","3.bmp",6,0.29562,3
"434","3.bmp",6,0.2628,3
"435","3.bmp",5,0.24669,9
"436","3.bmp",6,0.34547,3
"437","3.bmp",0,0.26196,0
"438","3.bmp",3,0.27902,8
"439","3.bmp",5,0.19716,9
"440","3.bmp",5,0.2464,9
"441","3.bmp",9,0.32883,1
"442","3.bmp",6,0.47749,3
"443","3.bmp",6,0.31175,3
"444","3.bmp",6,0.34563,3
"445","3.bmp",9,0.24583,1
"446","3.bmp",6,0.31187,3
"447","3.bmp",9,0.21393,1
"448","3.bmp",0,0.69099,0
"449","3.bmp",9,0.32828,1
"450","3.bmp",9,0.60899,1
"451","3.bmp",8,0.55811,5
"452","3.bmp",9,0.6412,1
"453","3.bmp",7,0.21346,7
"454","3.bmp",3,0.38286,8
"455","3.bmp",4,0.47681,4
"456","3.bmp",4,0.29471,4
"457","3.bmp",1,0.32874,2
"458","3.bmp",1,0.32755,2
"459","3.bmp",1,0.26315,2
"460","3.bmp",8,0.08246,5
"461","3.bmp",8,0.31287,5
"462","3.bmp",0,0.21344,0
"463","3.bmp",4,0.39395,4
"464","3.bmp",4,0.4111,4
"465","3.bmp",5,0.3447,9
"466","3.bmp",7,0.36136,7
"467","3.bmp",1,0.44388,2
"468","3.bmp",1,0.36066,2
"469","3.bmp",1,0.60892,2
"470","3.bmp",1,0.34485,2
"471","3.bmp",1,0.34448,2
"472","3.bmp",0,0.29581,0
"473","3.bmp",0,0.26239,0
"474","3.bmp",4,0.50842,4
"475","3.bmp",5,0.37817,9
"476","3.bmp",3,0.19577,8
"477","3.bmp",3,0.36172,8
"478","3.bmp",7,0.11459,7
"479","3.bmp",4,0.44351,4
"480","3.bmp",4,0.60779,4
"481","3.bmp",4,0.93533,4
"482","3.bmp",4,0.4921,4
