"","slide","initialAOI","fixationTime","correctedAOI"
"1","fruit.bmp",6,0.16408,6
"2","fruit.bmp",9,0.19652,9
"3","fruit.bmp",0,0.08186,0
"4","fruit.bmp",2,0.38815,2
"5","fruit.bmp",3,0.26275,3
"6","fruit.bmp",4,0.21368,4
"7","fruit.bmp",5,0.2465,5
"8","fruit.bmp",2,0.1972,2
"9","fruit.bmp",10,0.22308,10
"10","intro.bmp",0,0.27923,0
"11","intro.bmp",5,0.52494,5
"12","intro.bmp",2,0.31231,2
"13","intro.bmp",0,0.2306,0
"14","intro.bmp",3,0.22956,3
"15","intro.bmp",6,0.24619,6
"16","intro.bmp",0,0.26293,0
"17","intro.bmp",7,0.31429,7
"18","intro.bmp",1,0.21474,1
"19","intro.bmp",1,0.31216,1
"20","intro.bmp",7,0.38013,7
"21","intro.bmp",0,0.45953,0
"22","intro.bmp",2,0.19704,2
"23","intro.bmp",8,0.36243,8
"24","intro.bmp",0,0.26189,0
"25","intro.bmp",0,0.68604,0
"26","intro.bmp",2,0.39436,2
"27","intro.bmp",4,0.31198,4
"28","intro.bmp",2,0.65839,2
"29","intro.bmp",0,0.2636,0
"30","intro.bmp",6,0.2298,6
"31","intro.bmp",5,0.22952,5
"32","intro.bmp",9,0.20321,9
"33","intro.bmp",8,0.21837,8
"34","intro.bmp",6,0.19781,6
"35","intro.bmp",8,0.36135,8
"36","intro.bmp",0,0.08112,0
"37","intro.bmp",3,0.24611,3
"38","intro.bmp",9,0.26269,9
"39","intro.bmp",4,0.27917,4
"40","intro.bmp",4,0.36153,4
"41","intro.bmp",0,0.19696,0
"42","intro.bmp",6,0.2626,6
"43","intro.bmp",7,0.19838,7
"44","intro.bmp",8,0.26325,8
"45","intro.bmp",6,0.24632,6
"46","intro.bmp",4,0.23036,4
"47","intro.bmp",1,0.2309,1
"48","intro.bmp",4,0.24637,4
"49","intro.bmp",10,0.21379,10
"50","intro.bmp",2,0.27918,2
"51","intro.bmp",0,0.27945,0
"52","intro.bmp",0,0.22917,0
"53","intro.bmp",6,0.1964,6
"54","intro.bmp",4,0.23001,4
"55","intro.bmp",3,0.31208,3
"56","intro.bmp",6,0.49293,6
"57","intro.bmp",6,0.39461,6
"58","intro.bmp",6,0.7228,6
"59","intro.bmp",3,0.23008,3
"60","intro.bmp",3,0.31229,3
"61","intro.bmp",2,0.23027,2
"62","intro.bmp",9,0.19708,9
"63","intro.bmp",9,0.16387,9
"64","intro.bmp",6,0.19704,6
"65","intro.bmp",6,0.21365,6
"66","intro.bmp",8,0.09856,8
"67","intro.bmp",7,0.42739,7
"68","intro.bmp",1,0.21114,1
"69","intro.bmp",0,0.42728,0
"70","intro.bmp",5,0.26282,5
"71","intro.bmp",7,0.37733,7
"72","intro.bmp",7,0.27941,7
"73","intro.bmp",8,0.22903,8
"74","0.bmp",5,0.19746,5
"75","0.bmp",3,0.23433,3
"76","0.bmp",2,0.24619,2
"77","0.bmp",9,0.19701,9
"78","0.bmp",5,0.23124,5
"79","0.bmp",8,0.37789,8
"80","0.bmp",8,0.42674,8
"81","0.bmp",2,0.21344,2
"82","0.bmp",7,0.22973,7
"83","0.bmp",7,0.31167,7
"84","0.bmp",2,0.34462,2
"85","0.bmp",0,0.34417,0
"86","0.bmp",3,0.21367,3
"87","0.bmp",2,0.21328,2
"88","0.bmp",0,0.31179,0
"89","0.bmp",0,0.27946,0
"90","0.bmp",0,0.20782,0
"91","0.bmp",4,0.06563,4
"92","0.bmp",8,0.22989,8
"93","0.bmp",0,0.0489,0
"94","0.bmp",5,0.82122,5
"95","0.bmp",9,0.27961,9
"96","0.bmp",5,0.19993,5
"97","0.bmp",2,0.4426,2
"98","0.bmp",1,0.29611,1
"99","0.bmp",10,0.19453,10
"100","0.bmp",9,0.24553,9
"101","0.bmp",6,0.2631,6
"102","0.bmp",1,0.19696,1
"103","0.bmp",4,0.24664,4
"104","0.bmp",4,0.23035,4
"105","0.bmp",2,0.2295,2
"106","0.bmp",7,0.21247,7
"107","0.bmp",8,0.22961,8
"108","0.bmp",5,0.21368,5
"109","0.bmp",3,0.23019,3
"110","0.bmp",6,0.27915,6
"111","0.bmp",7,0.27944,7
"112","0.bmp",9,0.29562,9
"113","0.bmp",4,0.425,4
"114","0.bmp",1,0.36137,1
"115","0.bmp",2,0.52625,2
"116","0.bmp",4,0.39526,4
"117","0.bmp",1,0.36181,1
"118","0.bmp",9,0.21358,9
"119","1.bmp",1,0.32869,2
"120","1.bmp",4,0.37769,3
"121","1.bmp",4,0.47288,3
"122","1.bmp",9,0.24596,7
"123","1.bmp",9,0.39459,7
"124","1.bmp",7,0.26082,8
"125","1.bmp",10,0.3718,10
"126","1.bmp",7,0.44411,8
"127","1.bmp",10,0.22987,10
"128","1.bmp",6,0.1972,6
"129","1.bmp",3,0.26324,1
"130","1.bmp",0,0.21338,0
"131","1.bmp",3,0.2314,1
"132","1.bmp",2,0.32774,4
"133","1.bmp",4,0.21074,3
"134","1.bmp",1,0.27998,2
"135","1.bmp",2,0.21449,4
"136","1.bmp",8,0.19615,5
"137","1.bmp",3,0.19708,1
"138","1.bmp",9,0.27881,7
"139","1.bmp",2,0.312,4
"140","1.bmp",2,0.31154,4
"141","1.bmp",2,0.26283,4
"142","1.bmp",3,0.22992,1
"143","1.bmp",9,0.19743,7
"144","2.bmp",3,0.4106,8
"145","2.bmp",3,0.3444,8
"146","2.bmp",9,0.19707,5
"147","2.bmp",7,0.21355,7
"148","2.bmp",8,0.24604,3
"149","2.bmp",10,0.23027,10
"150","2.bmp",9,0.65696,5
"151","2.bmp",3,0.19691,8
"152","2.bmp",2,0.21386,6
"153","2.bmp",1,0.24648,2
"154","2.bmp",4,0.34518,1
"155","2.bmp",8,0.19707,3
"156","2.bmp",10,0.49295,10
"157","2.bmp",7,0.27962,7
"158","2.bmp",1,0.23047,2
"159","2.bmp",2,0.24613,6
"160","2.bmp",0,0.23019,0
"161","2.bmp",5,0.21588,9
"162","2.bmp",0,0.26348,0
