"","slide","initialAOI","fixationTime","correctedAOI"
"1","fruit.bmp",6,0,6
"2","fruit.bmp",2,0.47579,2
"3","fruit.bmp",1,0.39463,1
"4","fruit.bmp",4,0.80473,4
"5","fruit.bmp",3,0.77225,3
"6","fruit.bmp",3,0.32892,3
"7","fruit.bmp",1,0.70616,1
"8","fruit.bmp",2,0.71027,2
"9","fruit.bmp",1,0.37785,1
"10","fruit.bmp",1,0.62231,1
"11","fruit.bmp",6,0.21458,6
"12","fruit.bmp",5,0.70629,5
"13","fruit.bmp",7,0.21285,7
"14","fruit.bmp",8,0.24677,8
"15","fruit.bmp",10,0.24526,10
"16","intro.bmp",7,0.31184,7
"17","intro.bmp",6,0.24609,6
"18","intro.bmp",8,0.23011,8
"19","intro.bmp",10,0.29547,10
"20","intro.bmp",9,0.62431,9
"21","intro.bmp",8,0.44362,8
"22","intro.bmp",10,0.2794,10
"23","intro.bmp",0,0.19691,0
"24","intro.bmp",6,0.42703,6
"25","intro.bmp",8,0.77229,8
"26","intro.bmp",9,0.32802,9
"27","intro.bmp",8,0.24654,8
"28","intro.bmp",5,0.36229,5
"29","intro.bmp",1,0.21418,1
"30","intro.bmp",6,0.64114,6
"31","intro.bmp",6,0.27914,6
"32","intro.bmp",6,0.26263,6
"33","intro.bmp",5,0.34499,5
"34","intro.bmp",7,0.22997,7
"35","intro.bmp",4,0.24718,4
"36","intro.bmp",4,0.29591,4
"37","intro.bmp",7,0.24559,7
"38","intro.bmp",1,0.67362,1
"39","intro.bmp",5,0.55814,5
"40","intro.bmp",6,0.22936,6
"41","intro.bmp",9,0.3633,9
"42","intro.bmp",6,0.22952,6
"43","intro.bmp",1,0.26398,1
"44","intro.bmp",8,0.45995,8
"45","intro.bmp",6,0.19758,6
"46","intro.bmp",0,0.1969,0
"47","intro.bmp",5,0.19705,5
"48","intro.bmp",10,0.37785,10
"49","intro.bmp",9,0.29574,9
"50","intro.bmp",10,0.23071,10
"51","intro.bmp",6,0.19695,6
"52","intro.bmp",8,0.24638,8
"53","intro.bmp",5,0.23012,5
"54","intro.bmp",10,0.19733,10
"55","intro.bmp",8,0.65699,8
"56","intro.bmp",5,0.2799,5
"57","intro.bmp",2,0.54268,2
"58","intro.bmp",1,0.24586,1
"59","intro.bmp",0,0.24654,0
"60","intro.bmp",3,0.21491,3
"61","intro.bmp",3,0.27931,3
"62","intro.bmp",6,0.26302,6
"63","intro.bmp",7,0.23027,7
"64","intro.bmp",4,0.27936,4
"65","intro.bmp",5,0.29587,5
"66","intro.bmp",9,0.2303,9
"67","intro.bmp",8,0.21342,8
"68","intro.bmp",4,0.36087,4
"69","intro.bmp",1,0.24816,1
"70","intro.bmp",4,0.23016,4
"71","intro.bmp",2,0.19705,2
"72","intro.bmp",3,0.27918,3
"73","intro.bmp",1,0.34496,1
"74","intro.bmp",7,0.29553,7
"75","intro.bmp",5,0.34496,5
"76","intro.bmp",3,0.31198,3
"77","intro.bmp",5,0.49287,5
"78","intro.bmp",8,0.26255,8
"79","intro.bmp",7,0.5585,7
"80","intro.bmp",8,0.62418,8
"81","intro.bmp",6,0.44333,6
"82","intro.bmp",3,0.41058,3
"83","intro.bmp",6,0.2299,6
"84","0.bmp",3,0.62476,3
"85","0.bmp",3,0.49065,3
"86","0.bmp",5,0.72249,5
"87","0.bmp",3,0.26299,3
"88","0.bmp",3,1.06794,3
"89","0.bmp",7,0.24628,7
"90","0.bmp",7,0.57523,7
"91","0.bmp",8,0.24587,8
"92","0.bmp",6,0.65744,6
"93","0.bmp",3,0.24637,3
"94","0.bmp",2,0.29633,2
"95","0.bmp",1,0.23017,1
