"","slide","initialAOI","fixationTime","correctedAOI"
"1","fruit.bmp",0,0.11451,0
"2","fruit.bmp",0,0.2943,0
"3","fruit.bmp",0,0.27928,0
"4","fruit.bmp",2,0.19987,2
"5","fruit.bmp",4,0.21368,4
"6","fruit.bmp",6,1.05794,6
"7","fruit.bmp",1,0.29543,1
"8","fruit.bmp",1,0.32804,1
"9","fruit.bmp",1,0.24553,1
"10","fruit.bmp",6,0.57553,6
"11","fruit.bmp",7,0.36172,7
"12","intro.bmp",9,1.29602,9
"13","intro.bmp",9,0.34503,9
"14","intro.bmp",4,0.23029,4
"15","intro.bmp",6,0.2957,6
"16","intro.bmp",7,0.04929,7
"17","intro.bmp",6,0.31209,6
"18","intro.bmp",1,0.21316,1
"19","intro.bmp",9,0.26282,9
"20","intro.bmp",8,0.32867,8
"21","intro.bmp",5,0.2327,5
"22","intro.bmp",8,0.39397,8
"23","intro.bmp",0,0.21336,0
"24","intro.bmp",5,1.88873,5
"25","intro.bmp",5,0.54193,5
"26","intro.bmp",6,0.23045,6
"27","intro.bmp",6,0.26325,6
"28","intro.bmp",9,0.2139,9
"29","intro.bmp",8,0.23272,8
"30","intro.bmp",7,0.21357,7
"31","intro.bmp",5,0.19688,5
"32","intro.bmp",2,0.21764,2
"33","intro.bmp",5,0.34518,5
"34","intro.bmp",7,0.22287,7
"35","intro.bmp",8,0.27879,8
"36","intro.bmp",4,0.26225,4
"37","intro.bmp",1,0.22992,1
"38","intro.bmp",4,0.24405,4
"39","intro.bmp",1,0.21466,1
"40","intro.bmp",5,0.39422,5
"41","intro.bmp",7,0.23016,7
"42","intro.bmp",1,0.42819,1
"43","intro.bmp",1,0.75542,1
"44","intro.bmp",0,0.31203,0
"45","intro.bmp",8,0.24636,8
"46","intro.bmp",9,0.26264,9
"47","intro.bmp",1,0.131,1
"48","intro.bmp",5,0.26701,5
"49","intro.bmp",7,0.21352,7
"50","intro.bmp",8,0.45967,8
"51","intro.bmp",7,0.23038,7
"52","0.bmp",7,0.41083,7
"53","0.bmp",5,0.70684,5
"54","0.bmp",5,0.26334,5
"55","0.bmp",2,0.23078,2
"56","0.bmp",8,0.21332,8
"57","0.bmp",0,0.55815,0
"58","0.bmp",4,0.26523,4
"59","0.bmp",0,0.3615,0
"60","0.bmp",3,0.19715,3
"61","0.bmp",2,0.2793,2
"62","0.bmp",0,0.39523,0
"63","0.bmp",2,0.47676,2
"64","0.bmp",1,0.21341,1
"65","0.bmp",4,0.4433,4
"66","0.bmp",4,0.34481,4
"67","0.bmp",7,0.21095,7
"68","0.bmp",0,0.24613,0
"69","0.bmp",5,0.23047,5
"70","0.bmp",6,0.22829,6
"71","0.bmp",9,0.23046,9
"72","0.bmp",2,0.41112,2
"73","0.bmp",1,0.42711,1
"74","0.bmp",4,0.26255,4
"75","0.bmp",2,0.50954,2
"76","0.bmp",9,0.34528,9
"77","0.bmp",1,0.35808,1
"78","0.bmp",2,0.47651,2
"79","0.bmp",7,0.23007,7
"80","0.bmp",1,0.29678,1
"81","0.bmp",4,0.46106,4
"82","0.bmp",4,0.32896,4
"83","0.bmp",9,0.77235,9
"84","0.bmp",9,0.87067,9
"85","1.bmp",9,0.42683,7
"86","1.bmp",5,0.2953,5
"87","1.bmp",6,0.27916,4
"88","1.bmp",6,0.24667,4
"89","1.bmp",9,0.26392,7
"90","1.bmp",9,0.73891,7
"91","1.bmp",10,0.21314,10
"92","1.bmp",8,0.29573,1
"93","1.bmp",4,0.23002,8
"94","1.bmp",2,0.32803,2
"95","1.bmp",1,0.32865,3
"96","1.bmp",0,0.21365,0
"97","1.bmp",2,0.27988,2
"98","1.bmp",3,0.24629,9
"99","1.bmp",4,0.24689,8
"100","1.bmp",5,0.26279,5
"101","1.bmp",2,0.33123,2
"102","1.bmp",4,0.26282,8
"103","1.bmp",5,0.36094,5
"104","1.bmp",8,0.26345,1
"105","1.bmp",6,0.23019,4
"106","1.bmp",2,0.21364,2
"107","1.bmp",4,0.25941,8
"108","1.bmp",1,0.34518,3
"109","1.bmp",4,0.23025,8
"110","1.bmp",5,0.36131,5
"111","1.bmp",8,0.51002,1
"112","1.bmp",9,0.24972,7
"113","1.bmp",4,0.26316,8
"114","1.bmp",5,0.47643,5
"115","1.bmp",2,0.22968,2
"116","1.bmp",2,0.26295,2
"117","1.bmp",5,0.44356,5
"118","1.bmp",4,0.49274,8
"119","2.bmp",6,0.27966,6
"120","2.bmp",8,0.24612,9
"121","2.bmp",2,0.19692,3
"122","2.bmp",4,0.29578,4
"123","2.bmp",10,0.57495,10
