"","slide","initialAOI","fixationTime","correctedAOI","Transition","Transition"
"103","0.bmp",2,0.49315,2,"Surface","Surface"
"104","0.bmp",1,1.51282,1,"Meaningful","Meaningful"
"105","0.bmp",4,0.3778,4,"Surface","Surface"
"106","0.bmp",1,2.41543,1,"Surface","Surface"
"107","0.bmp",4,0.04951,4,"Surface","Surface"
"108","0.bmp",1,0.80499,1,"Surface","Surface"
"109","0.bmp",2,0.27906,2,"Meaningful","Meaningful"
"110","0.bmp",1,1.594,1,"Meaningful","Meaningful"
"111","0.bmp",0,0.86931,0,"Invalid","Invalid"
"112","0.bmp",9,0.27912,9,"Invalid","Invalid"
"113","0.bmp",8,0.87116,8,"Meaningful","Meaningful"
"114","0.bmp",5,0.43077,5,"Surface","Surface"
"115","0.bmp",2,0.39513,2,"Surface","Surface"
"116","0.bmp",0,0.37743,0,"Invalid","Invalid"
"117","0.bmp",8,0.67406,8,"Invalid","Invalid"
"118","0.bmp",9,0.26204,9,"Meaningful","Meaningful"
"119","0.bmp",8,0.29568,8,"Meaningful","Meaningful"
"120","0.bmp",4,0.21891,4,"Invalid","Invalid"
"121","0.bmp",7,0.27934,7,"Surface","Surface"
"122","0.bmp",4,0.32866,4,"Surface","Surface"
"123","0.bmp",1,0.32837,1,"Surface","Surface"
"124","0.bmp",3,0.7717,3,"Meaningful","Meaningful"
"125","0.bmp",0,0.47624,0,"Invalid","Invalid"
"126","0.bmp",2,0.26049,2,"Invalid","Invalid"
"127","0.bmp",10,0.33481,10,"Invalid","Invalid"
"128","0.bmp",0,0.19728,0,"Invalid","Invalid"
"129","0.bmp",8,0.21334,8,"Invalid","Invalid"
"130","0.bmp",7,0.21373,7,"Meaningful","Meaningful"
"131","0.bmp",5,0.29559,5,"Invalid","Invalid"
"132","0.bmp",2,0.24653,2,"Surface","Surface"
"133","0.bmp",0,0.32887,0,"Invalid","Invalid"
"134","0.bmp",8,0.19749,8,"Invalid","Invalid"
"135","0.bmp",10,1.24774,10,"Invalid","Invalid"
"136","0.bmp",5,0.4436,5,"Invalid","Invalid"
"137","0.bmp",2,0.2717,2,"Surface","Surface"
"138","0.bmp",0,0.26341,0,"Invalid","Invalid"
"139","0.bmp",1,0.21638,1,"Invalid","Invalid"
"140","0.bmp",0,0.83703,0,"Invalid","Invalid"
"141","0.bmp",3,0.72045,3,"Invalid","Invalid"
"142","0.bmp",5,0.54278,5,"Invalid","Invalid"
"143","0.bmp",4,0.34486,4,"Meaningful","Meaningful"
"144","0.bmp",7,0.26324,7,"Surface","Surface"
"145","0.bmp",9,0.72292,9,"Meaningful","Meaningful"
"146","0.bmp",8,0.37651,8,"Meaningful","Meaningful"
"147","0.bmp",4,0.3131,4,"Invalid","Invalid"
"148","0.bmp",1,0.26297,1,"Surface","Surface"
"149","0.bmp",2,0.22997,2,"Meaningful","Meaningful"
"150","0.bmp",3,0.55869,3,"Meaningful","Meaningful"
"151","0.bmp",6,0.44344,6,"Surface","Surface"
"152","0.bmp",3,0.21407,3,"Surface","Surface"
"153","0.bmp",4,0.35921,4,"Invalid","Invalid"
"154","0.bmp",6,0.42693,6,"Meaningful","Meaningful"
"155","0.bmp",3,0.73913,3,"Surface","Surface"
"156","0.bmp",6,1.41395,6,"Surface","Surface"
"157","1.bmp",9,0.37752,6,"Invalid","Invalid"
"158","1.bmp",5,0.26282,3,"Surface","Surface"
"159","1.bmp",0,0.34505,0,"Invalid","Invalid"
"160","1.bmp",2,0.21391,8,"Invalid","Invalid"
"161","1.bmp",1,0.34454,5,"Surface","Surface"
"162","1.bmp",3,0.39415,2,"Surface","Surface"
"163","1.bmp",9,0.34495,6,"Invalid","Invalid"
"164","1.bmp",3,0.30055,2,"Invalid","Invalid"
"165","1.bmp",6,0.49581,4,"Invalid","Invalid"
"166","1.bmp",3,1.33104,2,"Invalid","Invalid"
"167","1.bmp",0,0.73746,0,"Invalid","Invalid"
"168","1.bmp",6,0.75549,4,"Invalid","Invalid"
"169","1.bmp",9,0.20216,6,"Meaningful","Meaningful"
"170","1.bmp",0,0.37804,0,"Invalid","Invalid"
"171","1.bmp",8,0.27892,9,"Invalid","Invalid"
"172","1.bmp",0,0.6066,0,"Invalid","Invalid"
"173","1.bmp",5,0.04944,3,"Invalid","Invalid"
"174","1.bmp",4,0.23003,1,"Meaningful","Meaningful"
"175","1.bmp",7,0.22981,7,"Surface","Surface"
"176","1.bmp",2,0.06561,8,"Meaningful","Meaningful"
"177","1.bmp",8,0.73905,9,"Meaningful","Meaningful"
"178","1.bmp",10,0.44376,10,"Invalid","Invalid"
"179","1.bmp",2,0.83826,8,"Invalid","Invalid"
"180","1.bmp",3,0.50923,2,"Surface","Surface"
"181","1.bmp",1,0.27898,5,"Surface","Surface"
"182","1.bmp",4,0.64057,1,"Invalid","Invalid"
"183","1.bmp",9,0.26169,6,"Invalid","Invalid"
"184","1.bmp",3,0.19733,2,"Invalid","Invalid"
"185","1.bmp",8,0.60854,9,"Invalid","Invalid"
"186","1.bmp",9,0.22957,6,"Surface","Surface"
"187","1.bmp",8,0.24623,9,"Surface","Surface"
"188","1.bmp",7,0.67814,7,"Meaningful","Meaningful"
"189","1.bmp",8,0.13315,9,"Meaningful","Meaningful"
"190","1.bmp",7,0.47678,7,"Meaningful","Meaningful"
"191","1.bmp",8,0.21339,9,"Meaningful","Meaningful"
"192","1.bmp",4,0.19734,1,"Invalid","Invalid"
"193","1.bmp",2,0.21378,8,"Invalid","Invalid"
"194","1.bmp",1,0.65735,5,"Surface","Surface"
"195","1.bmp",3,0.64073,2,"Surface","Surface"
