"","slide","initialAOI","fixationTime","correctedAOI","Transition","Transition"
"1","fruit.bmp",0,0.68809,0,"Invalid","Invalid"
"2","fruit.bmp",2,0.19987,2,"Invalid","Invalid"
"3","fruit.bmp",4,0.21368,4,"Invalid","Invalid"
"4","fruit.bmp",6,1.05794,6,"Surface","Surface"
"5","fruit.bmp",1,0.869,1,"Invalid","Invalid"
"6","fruit.bmp",6,0.57553,6,"Invalid","Invalid"
"7","fruit.bmp",7,0.36172,7,"Invalid","Invalid"
"8","intro.bmp",9,1.64105,9,"Invalid","Invalid"
"9","intro.bmp",4,0.23029,4,"Invalid","Invalid"
"10","intro.bmp",6,0.2957,6,"Surface","Surface"
"11","intro.bmp",7,0.04929,7,"Invalid","Invalid"
"12","intro.bmp",6,0.31209,6,"Invalid","Invalid"
"13","intro.bmp",1,0.21316,1,"Invalid","Invalid"
"14","intro.bmp",9,0.26282,9,"Invalid","Invalid"
"15","intro.bmp",8,0.32867,8,"Surface","Surface"
"16","intro.bmp",5,0.2327,5,"Meaningful","Meaningful"
"17","intro.bmp",8,0.39397,8,"Meaningful","Meaningful"
"18","intro.bmp",0,0.21336,0,"Invalid","Invalid"
"19","intro.bmp",5,2.43066,5,"Invalid","Invalid"
"20","intro.bmp",6,0.4937,6,"Surface","Surface"
"21","intro.bmp",9,0.2139,9,"Meaningful","Meaningful"
"22","intro.bmp",8,0.23272,8,"Surface","Surface"
"23","intro.bmp",7,0.21357,7,"Surface","Surface"
"24","intro.bmp",5,0.19688,5,"Invalid","Invalid"
"25","intro.bmp",2,0.21764,2,"Meaningful","Meaningful"
"26","intro.bmp",5,0.34518,5,"Meaningful","Meaningful"
"27","intro.bmp",7,0.22287,7,"Invalid","Invalid"
"28","intro.bmp",8,0.27879,8,"Surface","Surface"
"29","intro.bmp",4,0.26225,4,"Invalid","Invalid"
"30","intro.bmp",1,0.22992,1,"Meaningful","Meaningful"
"31","intro.bmp",4,0.24405,4,"Meaningful","Meaningful"
"32","intro.bmp",1,0.21466,1,"Meaningful","Meaningful"
"33","intro.bmp",5,0.39422,5,"Invalid","Invalid"
"34","intro.bmp",7,0.23016,7,"Invalid","Invalid"
"35","intro.bmp",1,1.18361,1,"Meaningful","Meaningful"
"36","intro.bmp",0,0.31203,0,"Invalid","Invalid"
"37","intro.bmp",8,0.24636,8,"Invalid","Invalid"
"38","intro.bmp",9,0.26264,9,"Surface","Surface"
"39","intro.bmp",1,0.131,1,"Invalid","Invalid"
"40","intro.bmp",5,0.26701,5,"Invalid","Invalid"
"41","intro.bmp",7,0.21352,7,"Invalid","Invalid"
"42","intro.bmp",8,0.45967,8,"Surface","Surface"
"43","intro.bmp",7,0.64121,7,"Surface","Surface"
"44","0.bmp",5,0.97018,5,"Invalid","Invalid"
"45","0.bmp",2,0.23078,2,"Surface","Surface"
"46","0.bmp",8,0.21332,8,"Surface","Surface"
"47","0.bmp",0,0.55815,0,"Invalid","Invalid"
