"","slide","initialAOI","fixationTime","correctedAOI","Transition","Transition"
"1","intro.bmp",7,0.29481,7,"Invalid","Invalid"
"2","intro.bmp",5,0.52624,5,"Invalid","Invalid"
"3","intro.bmp",6,0.26079,6,"Surface","Surface"
"4","intro.bmp",3,0.26293,3,"Meaningful","Meaningful"
"5","intro.bmp",4,0.27911,4,"Invalid","Invalid"
"6","intro.bmp",1,0.24802,1,"Meaningful","Meaningful"
"7","intro.bmp",2,0.36102,2,"Surface","Surface"
"8","intro.bmp",8,0.19738,8,"Meaningful","Meaningful"
"9","intro.bmp",0,0.24636,0,"Invalid","Invalid"
"10","intro.bmp",9,0.42742,9,"Invalid","Invalid"
"11","intro.bmp",6,0.24606,6,"Meaningful","Meaningful"
"12","intro.bmp",4,0.23038,4,"Surface","Surface"
"13","intro.bmp",2,0.21324,2,"Invalid","Invalid"
"14","intro.bmp",7,0.26242,7,"Invalid","Invalid"
"15","intro.bmp",4,0.24585,4,"Meaningful","Meaningful"
"16","intro.bmp",6,0.1652,6,"Surface","Surface"
"17","intro.bmp",3,1.42967,3,"Meaningful","Meaningful"
"18","intro.bmp",2,0.23012,2,"Surface","Surface"
"19","intro.bmp",10,0.29545,10,"Invalid","Invalid"
"20","intro.bmp",8,0.27911,8,"Invalid","Invalid"
"21","intro.bmp",10,0.37868,10,"Invalid","Invalid"
"22","0.bmp",2,1.14974,2,"Invalid","Invalid"
"23","0.bmp",0,0.35966,0,"Invalid","Invalid"
"24","0.bmp",4,0.32909,4,"Invalid","Invalid"
"25","0.bmp",7,0.31197,7,"Surface","Surface"
"26","0.bmp",9,0.26191,9,"Meaningful","Meaningful"
"27","0.bmp",5,0.44344,5,"Invalid","Invalid"
"28","0.bmp",8,0.45819,8,"Surface","Surface"
"29","0.bmp",0,0.27826,0,"Invalid","Invalid"
"30","0.bmp",6,0.21411,6,"Invalid","Invalid"
"31","0.bmp",3,0.21467,3,"Surface","Surface"
"32","0.bmp",0,0.36068,0,"Invalid","Invalid"
"33","0.bmp",4,0.78437,4,"Invalid","Invalid"
"34","0.bmp",5,0.52613,5,"Meaningful","Meaningful"
"35","0.bmp",6,0.42827,6,"Meaningful","Meaningful"
"36","0.bmp",7,0.19719,7,"Invalid","Invalid"
"37","0.bmp",1,0.19617,1,"Surface","Surface"
"38","0.bmp",2,0.9348,2,"Meaningful","Meaningful"
"39","0.bmp",3,0.39429,3,"Meaningful","Meaningful"
"40","0.bmp",9,0.09853,9,"Surface","Surface"
"41","0.bmp",4,0.91996,4,"Invalid","Invalid"
"42","0.bmp",5,0.24516,5,"Meaningful","Meaningful"
"43","0.bmp",7,0.72416,7,"Invalid","Invalid"
"44","0.bmp",3,0.1985,3,"Invalid","Invalid"
"45","0.bmp",5,0.32772,5,"Invalid","Invalid"
"46","0.bmp",8,0.29806,8,"Surface","Surface"
"47","0.bmp",6,0.21322,6,"Invalid","Invalid"
"48","0.bmp",0,0.92095,0,"Invalid","Invalid"
"49","0.bmp",2,0.26245,2,"Invalid","Invalid"
"50","0.bmp",9,0.49207,9,"Invalid","Invalid"
"51","0.bmp",1,0.62458,1,"Invalid","Invalid"
"52","0.bmp",0,1.13579,0,"Invalid","Invalid"
"53","0.bmp",6,0.34745,6,"Invalid","Invalid"
"54","0.bmp",8,0.22982,8,"Invalid","Invalid"
"55","0.bmp",0,0.23013,0,"Invalid","Invalid"
"56","0.bmp",5,0.46378,5,"Invalid","Invalid"
"57","0.bmp",3,0.22978,3,"Invalid","Invalid"
"58","0.bmp",0,0.47544,0,"Invalid","Invalid"
"59","0.bmp",4,0.19824,4,"Invalid","Invalid"
"60","0.bmp",7,0.21392,7,"Surface","Surface"
