"","slide","initialAOI","fixationTime","correctedAOI","Transition","Transition"
"1","fruit.bmp",0,0.49659,0,"Invalid","Invalid"
"2","fruit.bmp",2,0.34534,2,"Invalid","Invalid"
"3","fruit.bmp",0,0.22966,0,"Invalid","Invalid"
"4","fruit.bmp",4,0.65717,4,"Invalid","Invalid"
"5","fruit.bmp",0,0.21347,0,"Invalid","Invalid"
"6","fruit.bmp",4,0.42719,4,"Invalid","Invalid"
"7","fruit.bmp",1,0.24617,1,"Meaningful","Meaningful"
"8","fruit.bmp",7,0.34473,7,"Meaningful","Meaningful"
"9","fruit.bmp",10,0.21355,10,"Invalid","Invalid"
"10","fruit.bmp",4,0.21631,4,"Invalid","Invalid"
"11","fruit.bmp",1,1.67551,1,"Meaningful","Meaningful"
"12","fruit.bmp",6,0.23023,6,"Invalid","Invalid"
"13","fruit.bmp",7,0.96697,7,"Invalid","Invalid"
"14","intro.bmp",8,0.47636,8,"Invalid","Invalid"
"15","intro.bmp",10,0.22947,10,"Invalid","Invalid"
"16","intro.bmp",0,0.5093,0,"Invalid","Invalid"
"17","intro.bmp",6,0.14756,6,"Invalid","Invalid"
"18","intro.bmp",7,0.21461,7,"Invalid","Invalid"
"19","intro.bmp",10,0.26275,10,"Invalid","Invalid"
"20","intro.bmp",3,0.46011,3,"Invalid","Invalid"
"21","intro.bmp",5,0.24578,5,"Invalid","Invalid"
"22","intro.bmp",2,0.21352,2,"Meaningful","Meaningful"
"23","intro.bmp",6,0.26302,6,"Invalid","Invalid"
"24","intro.bmp",0,0.04977,0,"Invalid","Invalid"
"25","intro.bmp",10,0.5923,10,"Invalid","Invalid"
"26","intro.bmp",9,0.27957,9,"Invalid","Invalid"
"27","intro.bmp",6,0.21191,6,"Meaningful","Meaningful"
"28","intro.bmp",7,0.19704,7,"Invalid","Invalid"
"29","intro.bmp",10,0.21355,10,"Invalid","Invalid"
"30","intro.bmp",0,0.2465,0,"Invalid","Invalid"
"31","intro.bmp",1,0.24661,1,"Invalid","Invalid"
"32","intro.bmp",2,0.24626,2,"Surface","Surface"
"33","intro.bmp",0,0.80729,0,"Invalid","Invalid"
"34","intro.bmp",10,0.21356,10,"Invalid","Invalid"
"35","intro.bmp",0,0.60769,0,"Invalid","Invalid"
"36","intro.bmp",8,0.65742,8,"Invalid","Invalid"
"37","intro.bmp",0,0.3122,0,"Invalid","Invalid"
"38","intro.bmp",1,0.22972,1,"Invalid","Invalid"
"39","intro.bmp",2,0.32866,2,"Surface","Surface"
"40","intro.bmp",3,0.26339,3,"Surface","Surface"
"41","intro.bmp",6,0.25037,6,"Meaningful","Meaningful"
"42","intro.bmp",9,0.2466,9,"Meaningful","Meaningful"
"43","intro.bmp",8,0.19691,8,"Surface","Surface"
"44","intro.bmp",6,0.06538,6,"Invalid","Invalid"
"45","intro.bmp",8,0.21396,8,"Invalid","Invalid"
"46","intro.bmp",5,0.23045,5,"Meaningful","Meaningful"
"47","intro.bmp",9,0.21336,9,"Invalid","Invalid"
"48","intro.bmp",8,0.31828,8,"Surface","Surface"
"49","intro.bmp",1,0.21189,1,"Invalid","Invalid"
"50","intro.bmp",4,0.23014,4,"Meaningful","Meaningful"
"51","intro.bmp",7,0.23,7,"Meaningful","Meaningful"
"52","intro.bmp",0,0.19717,0,"Invalid","Invalid"
"53","intro.bmp",5,0.21333,5,"Invalid","Invalid"
"54","intro.bmp",6,0.44337,6,"Surface","Surface"
"55","intro.bmp",9,0.27928,9,"Meaningful","Meaningful"
"56","intro.bmp",8,0.23003,8,"Surface","Surface"
"57","intro.bmp",9,0.2308,9,"Surface","Surface"
"58","intro.bmp",6,0.24652,6,"Meaningful","Meaningful"
"59","intro.bmp",3,0.37786,3,"Meaningful","Meaningful"
"60","intro.bmp",4,0.57357,4,"Invalid","Invalid"
"61","intro.bmp",6,0.24662,6,"Surface","Surface"
"62","intro.bmp",3,0.24652,3,"Meaningful","Meaningful"
"63","intro.bmp",1,0.34588,1,"Surface","Surface"
"64","intro.bmp",7,0.29537,7,"Meaningful","Meaningful"
"65","intro.bmp",8,0.31201,8,"Surface","Surface"
"66","intro.bmp",9,0.39445,9,"Surface","Surface"
"67","intro.bmp",2,0.50879,2,"Invalid","Invalid"
"68","0.bmp",6,0.36117,6,"Invalid","Invalid"
"69","0.bmp",5,0.31229,5,"Meaningful","Meaningful"
"70","0.bmp",0,0.48363,0,"Invalid","Invalid"
"71","0.bmp",8,0.19707,8,"Invalid","Invalid"
"72","0.bmp",9,0.32819,9,"Meaningful","Meaningful"
