"","slide","initialAOI","fixationTime","correctedAOI","Transition","Transition"
"1","fruit.bmp",6,0,6,"Invalid","Invalid"
"2","fruit.bmp",2,0.47579,2,"Invalid","Invalid"
"3","fruit.bmp",1,0.39463,1,"Surface","Surface"
"4","fruit.bmp",4,0.80473,4,"Meaningful","Meaningful"
"5","fruit.bmp",3,1.10117,3,"Invalid","Invalid"
"6","fruit.bmp",1,0.70616,1,"Surface","Surface"
"7","fruit.bmp",2,0.71027,2,"Surface","Surface"
"8","fruit.bmp",1,1.00016,1,"Surface","Surface"
"9","fruit.bmp",6,0.21458,6,"Invalid","Invalid"
"10","fruit.bmp",5,0.70629,5,"Surface","Surface"
"11","fruit.bmp",7,0.21285,7,"Invalid","Invalid"
"12","fruit.bmp",8,0.24677,8,"Surface","Surface"
"13","fruit.bmp",10,0.24526,10,"Invalid","Invalid"
"14","intro.bmp",7,0.31184,7,"Invalid","Invalid"
"15","intro.bmp",6,0.24609,6,"Invalid","Invalid"
"16","intro.bmp",8,0.23011,8,"Invalid","Invalid"
"17","intro.bmp",10,0.29547,10,"Invalid","Invalid"
"18","intro.bmp",9,0.62431,9,"Invalid","Invalid"
"19","intro.bmp",8,0.44362,8,"Surface","Surface"
"20","intro.bmp",10,0.2794,10,"Invalid","Invalid"
"21","intro.bmp",0,0.19691,0,"Invalid","Invalid"
"22","intro.bmp",6,0.42703,6,"Invalid","Invalid"
"23","intro.bmp",8,0.77229,8,"Invalid","Invalid"
"24","intro.bmp",9,0.32802,9,"Surface","Surface"
"25","intro.bmp",8,0.24654,8,"Surface","Surface"
"26","intro.bmp",5,0.36229,5,"Meaningful","Meaningful"
"27","intro.bmp",1,0.21418,1,"Invalid","Invalid"
"28","intro.bmp",6,1.18291,6,"Invalid","Invalid"
"29","intro.bmp",5,0.34499,5,"Surface","Surface"
"30","intro.bmp",7,0.22997,7,"Invalid","Invalid"
"31","intro.bmp",4,0.54309,4,"Meaningful","Meaningful"
"32","intro.bmp",7,0.24559,7,"Meaningful","Meaningful"
"33","intro.bmp",1,0.67362,1,"Meaningful","Meaningful"
"34","intro.bmp",5,0.55814,5,"Invalid","Invalid"
"35","intro.bmp",6,0.22936,6,"Surface","Surface"
"36","intro.bmp",9,0.3633,9,"Meaningful","Meaningful"
"37","intro.bmp",6,0.22952,6,"Meaningful","Meaningful"
"38","intro.bmp",1,0.26398,1,"Invalid","Invalid"
"39","intro.bmp",8,0.45995,8,"Invalid","Invalid"
"40","intro.bmp",6,0.19758,6,"Invalid","Invalid"
"41","intro.bmp",0,0.1969,0,"Invalid","Invalid"
"42","intro.bmp",5,0.19705,5,"Invalid","Invalid"
"43","intro.bmp",10,0.37785,10,"Invalid","Invalid"
"44","intro.bmp",9,0.29574,9,"Invalid","Invalid"
"45","intro.bmp",10,0.23071,10,"Invalid","Invalid"
"46","intro.bmp",6,0.19695,6,"Invalid","Invalid"
"47","intro.bmp",8,0.24638,8,"Invalid","Invalid"
"48","intro.bmp",5,0.23012,5,"Meaningful","Meaningful"
"49","intro.bmp",10,0.19733,10,"Invalid","Invalid"
"50","intro.bmp",8,0.65699,8,"Invalid","Invalid"
"51","intro.bmp",5,0.2799,5,"Meaningful","Meaningful"
"52","intro.bmp",2,0.54268,2,"Meaningful","Meaningful"
"53","intro.bmp",1,0.24586,1,"Surface","Surface"
"54","intro.bmp",0,0.24654,0,"Invalid","Invalid"
"55","intro.bmp",3,0.49422,3,"Invalid","Invalid"
"56","intro.bmp",6,0.26302,6,"Meaningful","Meaningful"
"57","intro.bmp",7,0.23027,7,"Invalid","Invalid"
"58","intro.bmp",4,0.27936,4,"Meaningful","Meaningful"
"59","intro.bmp",5,0.29587,5,"Surface","Surface"
"60","intro.bmp",9,0.2303,9,"Invalid","Invalid"
"61","intro.bmp",8,0.21342,8,"Surface","Surface"
"62","intro.bmp",4,0.36087,4,"Invalid","Invalid"
"63","intro.bmp",1,0.24816,1,"Meaningful","Meaningful"
"64","intro.bmp",4,0.23016,4,"Meaningful","Meaningful"
"65","intro.bmp",2,0.19705,2,"Invalid","Invalid"
"66","intro.bmp",3,0.27918,3,"Surface","Surface"
"67","intro.bmp",1,0.34496,1,"Surface","Surface"
"68","intro.bmp",7,0.29553,7,"Meaningful","Meaningful"
"69","intro.bmp",5,0.34496,5,"Invalid","Invalid"
"70","intro.bmp",3,0.31198,3,"Invalid","Invalid"
"71","intro.bmp",5,0.49287,5,"Invalid","Invalid"
"72","intro.bmp",8,0.26255,8,"Meaningful","Meaningful"
"73","intro.bmp",7,0.5585,7,"Surface","Surface"
"74","intro.bmp",8,0.62418,8,"Surface","Surface"
"75","intro.bmp",6,0.44333,6,"Invalid","Invalid"
"76","intro.bmp",3,0.41058,3,"Meaningful","Meaningful"
"77","intro.bmp",6,0.2299,6,"Meaningful","Meaningful"
"78","0.bmp",3,1.11541,3,"Invalid","Invalid"
"79","0.bmp",5,0.72249,5,"Invalid","Invalid"
"80","0.bmp",3,1.33093,3,"Invalid","Invalid"
"81","0.bmp",7,0.82151,7,"Invalid","Invalid"
"82","0.bmp",8,0.24587,8,"Meaningful","Meaningful"
"83","0.bmp",6,0.65744,6,"Invalid","Invalid"
"84","0.bmp",3,0.24637,3,"Surface","Surface"
"85","0.bmp",2,0.29633,2,"Meaningful","Meaningful"
"86","0.bmp",1,0.23017,1,"Meaningful","Meaningful"
"87","0.bmp",4,0.2947,4,"Surface","Surface"
"88","0.bmp",9,0.50954,9,"Invalid","Invalid"
"89","0.bmp",8,0.93647,8,"Meaningful","Meaningful"
"90","0.bmp",3,0.29485,3,"Invalid","Invalid"
"91","0.bmp",2,0.4765,2,"Meaningful","Meaningful"
"92","0.bmp",8,0.24601,8,"Surface","Surface"
"93","0.bmp",7,0.22988,7,"Meaningful","Meaningful"
"94","0.bmp",10,0.78837,10,"Invalid","Invalid"
"95","0.bmp",8,0.1982,8,"Invalid","Invalid"
"96","0.bmp",4,0.24521,4,"Invalid","Invalid"
"97","0.bmp",10,0.22977,10,"Invalid","Invalid"
"98","0.bmp",0,0.19347,0,"Invalid","Invalid"
"99","0.bmp",2,0.72397,2,"Invalid","Invalid"
"100","0.bmp",1,0.22966,1,"Meaningful","Meaningful"
"101","0.bmp",4,0.29604,4,"Surface","Surface"
"102","0.bmp",5,0.3285,5,"Meaningful","Meaningful"
"103","0.bmp",8,0.47561,8,"Surface","Surface"
"104","0.bmp",3,0.2141,3,"Invalid","Invalid"
"105","0.bmp",6,0.32848,6,"Surface","Surface"
"106","0.bmp",0,0.39509,0,"Invalid","Invalid"
"107","0.bmp",5,0.65753,5,"Invalid","Invalid"
"108","0.bmp",3,0.36172,3,"Invalid","Invalid"
"109","0.bmp",2,0.26059,2,"Meaningful","Meaningful"
"110","0.bmp",1,0.23011,1,"Meaningful","Meaningful"
"111","0.bmp",4,0.04922,4,"Surface","Surface"
"112","0.bmp",7,0.3614,7,"Surface","Surface"
"113","0.bmp",8,0.60308,8,"Meaningful","Meaningful"
"114","0.bmp",6,0.32895,6,"Invalid","Invalid"
"115","0.bmp",2,0.6208,2,"Invalid","Invalid"
"116","0.bmp",1,1.06756,1,"Meaningful","Meaningful"
"117","0.bmp",4,0.39439,4,"Surface","Surface"
"118","0.bmp",7,0.4599,7,"Surface","Surface"
"119","0.bmp",6,0.50922,6,"Invalid","Invalid"
"120","0.bmp",3,0.49264,3,"Surface","Surface"
"121","0.bmp",5,0.24735,5,"Invalid","Invalid"
"122","0.bmp",8,0.22998,8,"Surface","Surface"
"123","0.bmp",9,1.28134,9,"Meaningful","Meaningful"
"124","0.bmp",8,0.67481,8,"Meaningful","Meaningful"
"125","0.bmp",3,0.69034,3,"Invalid","Invalid"
"126","0.bmp",5,0.42661,5,"Invalid","Invalid"
"127","0.bmp",8,1.31471,8,"Surface","Surface"
"128","0.bmp",5,0.52581,5,"Surface","Surface"
"129","0.bmp",4,0.36155,4,"Meaningful","Meaningful"
"130","0.bmp",3,0.3447,3,"Invalid","Invalid"
"131","1.bmp",6,0.44732,4,"Invalid","Invalid"
"132","1.bmp",2,0.50923,5,"Meaningful","Meaningful"
"133","1.bmp",3,0.80513,2,"Surface","Surface"
"134","1.bmp",0,0.26228,0,"Invalid","Invalid"
"135","1.bmp",3,0.27949,2,"Invalid","Invalid"
"136","1.bmp",2,0.2135,5,"Surface","Surface"
"137","1.bmp",1,0.25549,9,"Invalid","Invalid"
"138","1.bmp",3,0.1973,2,"Invalid","Invalid"
"139","1.bmp",6,0.28949,4,"Invalid","Invalid"
"140","1.bmp",9,0.2469,6,"Meaningful","Meaningful"
"141","1.bmp",3,0.93659,2,"Invalid","Invalid"
"142","1.bmp",5,0.70629,3,"Meaningful","Meaningful"
"143","1.bmp",8,0.39429,8,"Invalid","Invalid"
"144","1.bmp",10,0.22771,10,"Invalid","Invalid"
"145","1.bmp",1,0.54204,9,"Invalid","Invalid"
"146","1.bmp",4,0.21378,7,"Meaningful","Meaningful"
"147","1.bmp",7,0.26292,1,"Surface","Surface"
"148","1.bmp",2,1.06928,5,"Invalid","Invalid"
"149","1.bmp",3,0.24747,2,"Surface","Surface"
