"","slide","initialAOI","fixationTime","correctedAOI","Transition","Transition"
"1","fruit.bmp",4,1.0352,4,"Invalid","Invalid"
"2","fruit.bmp",1,0.34437,1,"Meaningful","Meaningful"
"3","fruit.bmp",4,0.41295,4,"Meaningful","Meaningful"
"4","fruit.bmp",7,0.26318,7,"Meaningful","Meaningful"
"5","fruit.bmp",0,0.2793,0,"Invalid","Invalid"
"6","fruit.bmp",3,0.23028,3,"Invalid","Invalid"
"7","fruit.bmp",6,0.93293,6,"Meaningful","Meaningful"
"8","fruit.bmp",4,0.19684,4,"Surface","Surface"
"9","fruit.bmp",1,0.32845,1,"Meaningful","Meaningful"
"10","fruit.bmp",2,0.27946,2,"Surface","Surface"
"11","fruit.bmp",3,0.21465,3,"Surface","Surface"
"12","fruit.bmp",1,0.21409,1,"Surface","Surface"
"13","fruit.bmp",4,0.6906,4,"Meaningful","Meaningful"
"14","fruit.bmp",0,1.0677,0,"Invalid","Invalid"
"15","fruit.bmp",8,0.30997,8,"Invalid","Invalid"
"16","fruit.bmp",7,0.26288,7,"Surface","Surface"
"17","fruit.bmp",1,0.21415,1,"Meaningful","Meaningful"
"18","fruit.bmp",5,0.45797,5,"Invalid","Invalid"
"19","fruit.bmp",4,0.73858,4,"Surface","Surface"
"20","fruit.bmp",9,0.34734,9,"Invalid","Invalid"
"21","fruit.bmp",4,0.4263,4,"Invalid","Invalid"
"22","fruit.bmp",1,0.26274,1,"Meaningful","Meaningful"
"23","fruit.bmp",0,0.41055,0,"Invalid","Invalid"
"24","fruit.bmp",1,1.659,1,"Invalid","Invalid"
"25","fruit.bmp",7,0.75692,7,"Meaningful","Meaningful"
"26","fruit.bmp",9,2.0371,9,"Surface","Surface"
"27","intro.bmp",4,0.3449,4,"Invalid","Invalid"
"28","intro.bmp",10,0.21317,10,"Invalid","Invalid"
"29","intro.bmp",4,1.33311,4,"Invalid","Invalid"
"30","intro.bmp",1,0.29554,1,"Meaningful","Meaningful"
"31","intro.bmp",10,0.46018,10,"Invalid","Invalid"
"32","intro.bmp",9,1.3305,9,"Invalid","Invalid"
